NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości
3609;114;podlaskie;20110 Sokółka;2011 sokólski;Szudziałowo;Harkawicze;objęty ograniczeniami;53.325;23.74281;32;09.11.2020;12.11.2020;20.11.2020;P/20/52518;IPT+;1;odstrzelony;samiec - 1 rok;0;0;0;0
3610;1265/2020;warmińsko-mazurskie;28160 Pisz;2816 piski;Pisz; okolice Imionka;objęty ograniczeniami;53.648537;21.803377;32;11.11.2020;12.11.2020;20.11.2020;P/20/52519;IPT+;1;odstrzelony;samiec - 12 miesiecy, 13 kg;;;;
3611;1266/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Ostróda;Worniny;objęty ograniczeniami;53.671532;20.026805;32;10.11.2020;13.11.2020;20.11.2020;P/20/52517;RT-PCR+;1;zabity w wypadku;1. samiec - 24 m - 50 kg ;0;0;1;0
3612;950;lubuskie;08110 Lubsko;0811 żarski;Łęknica;Łęknica;objęty ograniczeniami;51.523902;14.77652;32;05.11.2020;06.11.2020;16.11.2020;P/20/51910;RT-PCR+;1;padły/padłe;1. samiec - 3 lata, 50 kg;0;1;0;0
3613;951;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Wilkanowo;zagrożenia;51.93;15.45;32;07.11.2020;09.11.2020;17.11.2020;P/20/52009;RT-PCR+;1;odstrzelony;1. samiec - 12 m - 20 kg;1;0;0;0
3614;952;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Ostrzyce;objęty ograniczeniami;52.037756;15.75833;32;06.11.2020;09.11.2020;17.11.2020;P/20/52010;RT-PCR+;1;odstrzelony;1. samiec - 36 m - 81 kg;1;0;0;0
3615;953;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Nowogród Bobrzański;Bogaczów;objęty ograniczeniami;51.852606;15.274135;32;08.11.2020;09.11.2020;17.11.2020;P/20/52011;RT-PCR+;1;odstrzelony;1. samiec - 24 m - 25 kg;1;0;0;0
3616;954;lubuskie;08050 Ośno Lubuskie;0805 słubicki;Górzyca;Owczary;objęty ograniczeniami;52.475603;14.643691;32;07.11.2020;09.11.2020;17.11.2020;P/20/52008;RT-PCR+;1;padły/padłe;1 samica - 24 m - 45 kg;1;0;0;0
3617;955;lubuskie;08040 Nowa Sól;0804 nowosolski;Kożuchów;Broniszów;objęty ograniczeniami;51.7946;15.4584;32;05.11.2020;06.11.2020;16.11.2020;P/20/51896;RT-PCR+;1;padły/padłe;nie określona, nieokreślony, 20 kg;0;0;1;0
3618;956;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Tarnów Bycki;objęty ograniczeniami;51.744842;15.803614;32;07.11.2020;09.11.2020;16.11.2020;P/20/52015;RT-PCR+;1;padły/padłe;samica -12 m -30 kg;1;0;0;0
