NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2691;965/2020;warmińsko-mazurskie;28180 Gołdap;2818 gołdapski;Gołdap;Kolniszki;objęty ograniczeniami;54.266763;22.375771;32;04.06.2020;09.06.2020;17.06.2020;P/20/25452;IPT+;1;odstrzelony;1.samica -24 miesiące,43 kg;;
2692;966/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Wieliczki;Puchówka;objęty ograniczeniami;53.923454;22.597734;30;04.06.2020;08.06.2020;17.06.2020;P/20/25449;RT-PCR+;1;padły/padłe;samiec - 24 m - 50 kg;;1
2693;967/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Wieliczki;Krupin;objęty ograniczeniami;54.020975;22.575012;30;04.06.2020;08.06.2020;17.06.2020;P/20/25449;RT-PCR+;2;padły/padłe;"samica - 1 m-c, 5 kg;                samiec - 24 m - 40 kg";2;
2694;664;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Karczyn;objęty ograniczeniami;52.151618;15.7025736;32;10.06.2020;12.06.2020;18.06.2020;P/20/25751;RT-PCR+;1;zabity w wypadku;1. samiec - 24 m - 40 kg;0;0;1;0;;
2695;665;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Słone;objęty ograniczeniami;51.927546;15.3923251;32;11.06.2020;12.06.2020;18.06.2020;P/20/25750;RT-PCR+;1;padły/padłe;1. samica - 24 m - 50 kg;1;0;0;0;;
2696;968/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jeziorany;Olszewnik;zagrożenia;53.9847;20.7758;30;07.06.2020;09.06.2020;17.06.2020;P/20/25451;RT-PCR+;1;padły/padłe;nieokreslona, 24 m - 60 kg;;1
2697;969/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Kolno;Tejstymy;objęty ograniczeniami;53.9670;20.9064;32;03.06.2020;09.06.2020;17.06.2020;P/20/25454;IPT+;1;odstrzelony;samica - 36 m - 47 kg;;
2698;666;lubuskie;08040 Nowa Sól;0804 nowosolski;Otyń;Ługi;zagrożenia;51.8479742148;15.6647872925;32;12.06.2020;17.06.2020;19.06.2020;P/20/25921;ELISA+IPT+;1;odstrzelony;samica - 24 m - 53 kg;1;0;0;0;;
2699;84/2020;podlaskie;20030 Bielsk Podlaski;2003 bielski (podlaski);Orla;Malinniki;objęty ograniczeniami;52.672336;23.266253;32;02.06.2020;15.06.2020;22.06.2020;P/20/26083;IPT+;1;odstrzelony;1. samiec 24 m - 57 kg  ;0;0;0;0;;
2700;154;podkarpackie;18080 Leżajsk;1808 leżajski;Nowa Sarzyna;Sarzyna;objęty ograniczeniami;50.347139;22.312583;32;17.06.2020;17.06.2020;22.06.2020;P/20/26082;IPT+;1;odstrzelony;1. samiec - 24 m - 45 kg;0;0;0;0;;
2701;667;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zielona Góra;Zawada;zagrożenia;51.9952972;15.5595599;32;12.06.2020;15.06.2020;22.06.2020;P/20/26143;RT-PCR+;1;padły/padłe;1. płec nieokreślona, wiek nieokreślony,15 kg;0;0;0;1;;
2702;668;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Leśniów Wielki;objęty ograniczeniami;51.975298;15.302579;32;16.06.2020;17.06.2020;22.06.2020;"P/20/26144,P/20/26139";RT-PCR+;2;padły/padłe;"1.samica - 12 m - 30 kg, 2. płec nieokreslona, 12 m -30kg";0;1;1;0;;
2703;669;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Nowogród Bobrzański;Nowogród Bobrzański;objęty ograniczeniami;51.8074819;15.2148692;32;16.06.2020;17.06.2020;22.06.2020;P/20/26139;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, wiek nieokreślony, 15 kg ;0;0;0;1;;
2704;670;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Karczyn;objęty ograniczeniami;52.1511496;15.700978;32;16.06.2020;17.06.2020;22.06.2020;P/20/26139;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, wiek nieokreślony, 20 kg ;0;0;1;0;;
2705;85/2020;podlaskie;20110 Sokółka;2011 sokólski;Krynki;Górany;objęty ograniczeniami;53.17877;23.73012;30;15.06.2020;15.06.2020;23.06.2020;P/20/26465;RT-PCR+;1;padły/padłe;samica 35 kg 2 lata;0;0;1;0;;
2706;152;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;Wolsztyn;Świętno ;objęty ograniczeniami;52.031211;16.047827;32;12.06.2020;15.06.2020;23.06.2020;P/20/26333;RT-PCR+;1;padły/padłe;2. samiec - 12 m - 40 kg ;0;0;1;0;;
2707;153;wielkopolskie;30130 Leszno;3013 leszczyński;Włoszakowice;Czarna Woda;objęty ograniczeniami;51.9119444;16.303611;32;08.06.2020;09.06.2020;23.06.2020;P/20/26263;RT-PCR+;1;padły/padłe;samica - 3 lata, 70 kg;0;1;0;0;;
2708;154;wielkopolskie;30130 Leszno;3013 leszczyński;Włoszakowice;Papiernia - jezioro Zapowiednik;objęty ograniczeniami;51.9202778;16.313056;32;10.06.2020;12.06.2020;23.06.2020;P/20/26598;RT-PCR+;1;padły/padłe;samica - 12 miesięcy, 35 kg;0;1;0;0;;
2709;155;wielkopolskie;30130 Leszno;3013 leszczyński;Włoszakowice;Papiernia - jezioro Zapowiednik;objęty ograniczeniami;51.9213889;16.308612;32;10.06.2020;12.06.2020;23.06.2020;P/20/26265;RT-PCR+;1;padły/padłe;samica - 3 tygodnie, 3 kg;0;0;0;1;;
2710;970/2020;warmińsko-mazurskie;28060 Giżycko;2806 giżycki;Ryn;J.Ryńskie (Ruminek);objęty ograniczeniami;53.925909;21.515335;30;15.06.2020;18.06.2020;24.06.2020;P/20/26469;RT-PCR+;1;padły/padłe;1/płeć nieokreślona, 3 l , waga , ok 80kg;;;1;;;
2711;971/2020;warmińsko-mazurskie;28060 Giżycko;2806 giżycki;Wydminy;Pamry;zagrożenia;53.920744;21.985939;30;16.06.2020;18.06.2020;24.06.2020;P/20/26469;RT-PCR+;2;padły/padłe;1/płeć samica - 4 mcy , waga , ok 10kg 2/ płeć samica - 4 mcy, waga ok 10kg;;2
2712;972/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Olecko;Dąbrowskie  ;zagrożenia;54.083556;22.547639;30;15.06.2020;16.06.2020;24.06.2020;P/20/26457;RT-PCR+;1;padły/padłe;samica - 12 m - 40 kg;;;1;;;
2713;973/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Wieliczki;Markowskie;objęty ograniczeniami;54.018715;22.594020;30;16.06.2020;17.06.2020;24.06.2020;P/20/26548;RT-PCR+;1;padły/padłe;płeć nie ustalona, 12 m - 15 kg;;;1;;;
2714;974/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Ełk;Szarek;objęty ograniczeniami;53.801001;22.283410;32;17.06.2020;18.06.2020;24.06.2020;P/20/26468;RT-PCR+;1;padły/padłe;"samica - 6 m - 6 kg";1;0;0;0;;
2715;975/2020;warmińsko-mazurskie;28100 Mrągowo;2810 mrągowski;Mrągowo;Popowo;objęty ograniczeniami;53.8972826;21.3520474;32;11.06.2020;15.06.2020;24.06.2020;P/20/26460;RT-PCR+;1;odstrzelony;samiec - 36 m-c, 50 kg;1;
2716;976/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Łukta;Zajączkowo;objęty ograniczeniami;53.879023;20.158898;30;12.06.2020;17.06.2020;24.06.2020;P/20/26459;RT-PCR+;1;padły/padłe;1. samiec - 36 m - 70 kg;0;1;0;0;;
2717;2199/138;mazowieckie;14180 Piaseczno;1418 piaseczyński;Góra Kalwaria;Ostrówik;objęty ograniczeniami;51.943549;21.240697;32;16.06.2020;16.06.2020;24.06.2020;P/20/27103;ELISA+IPT+;1;odstrzelony;1. samiec - 24 m - 60 kg;0;0;0;0;;
