NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości
3457;881;lubuskie;08100 Żagań;0810 żagański;Żagań;Bukowina Bobrzańska, DK 12, odcinek 63+000;objęty ograniczeniami;51.59344;15.42886;32;19.10.2020;19.10.2020;26.10.2020;P/20/48331;RT-PCR+;1;zabity w wypadku;samiec - 72m - 150 kg;0;1;0;0
3458;882;lubuskie;08040 Nowa Sól;0804 nowosolski;Otyń;Czasław  ;zagrożenia;51.8331;15.5947;32;18.10.2020;21.10.2020;26.10.2020;P/20/48343;RT-PCR+;1;odstrzelony;samiec -12mcy,21kg;1;0;0;0
3459;883;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zielona Góra;Barcikowice;zagrożenia;51.842396;15.514499;32;20.10.2020;21.10.2020;26.10.2020;P/20/48296;RT-PCR+;1;odstrzelony;1. samiec - 48 m - 107 kg;1;0;0;0
3460;884;lubuskie;08110 Lubsko;0811 żarski;Lipinki Łuzyckie;Lipinki Łużyckie;objęty ograniczeniami;51.63713;15.01235;32;21.10.2020;21.10.2020;26.10.2020;P/20/48342;RT-PCR+;1;zabity w wypadku;1. samiec - 12 m - 20 kg;1;0;0;0
3461;885;lubuskie;08050 Ośno Lubuskie;0805 słubicki;Słubice;Górzyca;objęty ograniczeniami;52.491791;14.716078;32;19.10.2020;20.10.2020;26.10.2020;P/20/48330;RT-PCR+;1;padły/padłe;1 samica - 4 m - 25 kg;1;0;0;0
3462;886;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Wysokie;zagrożenia;52.019801;15.452717;32;21.10.2020;23.10.2020;29.10.2020;P/20/48952;RT-PCR+;1;odstrzelony;1. samica - 24 m - 35kg;1;0;0;0
3463;887;lubuskie;08100 Żagań;0810 żagański;Żagań;Gorzupia Dolna DW 295;objęty ograniczeniami;51.73188;15.27422;32;19.10.2020;19.10.2020;26.10.2020;P/20/48337;RT-PCR+;1;zabity w wypadku;samica - 12 m - 10 kg;0;1;0;0
3464;210;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Werchrata;zagrożenia;50.2436;23.4963;30;20.10.2020;27.10.2020;30.10.2020;P/20/49064;RT-PCR+;1;padły/padłe;dzik samiec - ok.. 25 kg, ok.. 8 mies;1;0;0;0
3465;1219/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Bisztynek;Wozławki Kol.;zagrożenia;54.128475;20.87659;30;20.10.2020;21.10.2020;29.10.2020;P/20/48882;RT-PCR+;1;padły/padłe;samiec -14m - 35 kg;1;;;
3466;1220/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Wieliczki;Godziejewo;zagrożenia;54.049450;22.612252;30;20.10.2020;20.10.2020;29.10.2020;P/20/48892;RT-PCR+;1;padły/padłe;samica - 36 m - 100 kg;1;;;
3467;1221/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Pasłęk;Sokółka;objęty ograniczeniami;54.0345484;19.6159735;32;16.10.2020;20.10.2020;29.10.2020;P/20/48893;IPT+;1;odstrzelony;1. samiec - 36 m - 68 kg;;;;
3468;1222/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Górowo Iławeckie;Stega Mała;objęty ograniczeniami;54.319628;20.308749;32;19.10.2020;20.10.2020;29.10.2020;P/20/48894;IPT+;1;odstrzelony;samica - 2lata, 70kg;;;;
3469;1223/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Łukta;Ruś;zagrożenia;53.826083;19.961861;30;21.10.2020;23.10.2020;29.10.2020;P/20/48890;RT-PCR+;3;padły/padłe;1. samica - 36 m - 70 kg          2. samica - 36 m - 70 kg               3. samica - 24 m - 60 kg;0;2;1;0
3470;1224/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Ostróda;Wyżnice;objęty ograniczeniami;53.616667;20.088833;32;16.10.2020;20.10.2020;29.10.2020;P/20/48891;RT-PCR+;1;odstrzelony;samica - 36 m - 58 kg;0;0;0;0
3471;888;lubuskie;08100 Żagań;0810 żagański;Brzeźnica;Chotków;objęty ograniczeniami;51.70895;15.51474;32;22.10.2020;22.10.2020;29.10.2020;P/20/48899;RT-PCR+;1;padły/padłe;samiec - 48 m - 80 kg;0;1;0;0
3472;889;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Krosno Odrzańskie;Skórzyn;zagrożenia;52.111884;15.029272;32;22.10.2020;23.10.2020;29.10.2020;P/20/48951;RT-PCR+;1;padły/padłe;samica/36 m-cy/70 kg;0;1;0;0
3473;890;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Królikowice;zagrożenia;51.7082882;15.7781106;32;26.10.2020;28.10.2020;30.10.2020;p/2049232;RT-PCR+;1;padły/padłe;nieokreslone;0;0;0;1
3474;891;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Mozów;zagrożenia;52.079564;15.543532;32;26.10.2020;28.10.2020;30.10.2020;P/20/49211;RT-PCR+;1;padły/padłe;1. samiec - 36 m - 80kg;1;0;0;0
3475;892;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Letnica;zagrożenia;51.889135;15.333873;32;26.10.2020;28.10.2020;30.10.2020;P/20/49212;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 12m - 15kg;0;0;1;0
3476;893;lubuskie;08080 Świebodzin;0808 świebodziński;Łagów;Kosobudz;objęty ograniczeniami;52.2231;15.15;32;22.10.2020;23.10.2020;29.10.2020;P/20/48950;RT-PCR+;1;padły/padłe;samiec -12m -35 kg;1;0;0;0
3477;211;podkarpackie;18040 Jarosław;1804 jarosławski;Jarosław;Kostków;zagrożenia;50.122308;22.638995;32;22.10.2020;28.10.2020;30.10.2020;P/20/49116;RT-PCR+;1;padły/padłe;1. samiec -12 miesięcy  , 25 kg;0;0;0;0
