NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości
3433;1215/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Gietrzwałd;zagrożenia;53.7520;20.2390;32;12.10.2020;14.10.2020;22.10.2020;P/20/47484;RT-PCR+;1;padły/padłe;samica - 9 m - 60 kg;;1;;
3434;1216/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Bisztynek;Wozławki Kol.;zagrożenia;54.127991;20.893981;30;11.10.2020;13.10.2020;22.10.2020;P/20/47477;RT-PCR+;1;padły/padłe;samiec -10 m -20 kg;;1;;
3435;207;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Dziewięcierz;zagrożenia;50.2230;23.4266;30;16.10.2020;20.10.2020;23.10.2020;P/20/48142;RT-PCR+;1;padły/padłe;samica - 100 kg, 4 lata;0;0;1;0
3436;208;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Radróż;zagrożenia;50.1827;23.3855;30;17.10.2020;20.10.2020;23.10.2020;P/20/48142;RT-PCR+;2;padły/padłe;"płeć nieokreślona, 20, kg, 6 miesięcy;płeć nieokreślona, 20, kg, 6 miesięcy";0;0;1;0
3437;209;podkarpackie;18120 Nisko;1812 niżański;Harasiuki;Półsieraków;zagrożenia;50.458611;22.378889;32;19.10.2020;19.10.2020;23.10.2020;P/20/48182;ELISA+IPT+;1;odstrzelony;1. samica - 1 rok,38 kg;0;0;0;0
3438;11/2020;lubuskie;08100 Żagań;0810 żagański;Żagań;Jelenin ;objęty ograniczeniami;51.667494;15.431955;32;17.10.2020;19.10.2020;23.10.2020;P/20/48135;"RT-PCR+IPT+";1;odstrzelony;samiec - 24,20;1;0;0;0
3439;12/2020;lubuskie;08100 Żagań;0810 żagański;Wymiarki ;Wymiarki ;objęty ograniczeniami;51.51662;15.10483;32;19.10.2020;19.10.2020;26.10.2020;P/20/48334;RT-PCR+;1;padły/padłe;samica - 24, 10;0;1;0;0
3440;104;podlaskie;20110 Sokółka;2011 sokólski;Szudziałowo;Poczopek;objęty ograniczeniami;53.26031;23.645411;30;16.10.2020;19.10.2020;26.10.2020;P/20/48341;RT-PCR+;1;padły/padłe;samica - 18 kg, do 1 roku;1;0;0;0
3441;1217/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Jadaminy;zagrożenia;53.6977;20.1619;32;09.10.2020;13.10.2020;22.10.2020;P/20/47483;RT-PCR+;1;odstrzelony;samica - 7m - 20 kg;;;;
3442;1218/2020;warmińsko-mazurskie;28100 Mrągowo;2810 mrągowski;Mrągowo;Kolonia Kosewo;objęty ograniczeniami;53.836904;21.418508;32;09.10.2020;12.10.2020;22.10.2020;P/20/47482;IPT+;1;odstrzelony;samica - 7 m - 25 kg;;;;
