NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;"Data zgłoszenia";Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2738;77;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;wolsztyn;Błocko;objęty ograniczeniami;52.0635361;16.228333;32;07.03.2020;09.03.2020;15.03.2020;P/20/11847;RT-PCR+;12;padły/padłe;"1. samiec - 24 m - 50 kg 2. płeć nieokreślona, 6m - 10 kg  3. płec nieokreślona, 18 m - 20 kg 4. płeć nieokreślona, 12 m - 35 kg 5. samica - 12 m - 40 kg  6. samiec - 36 m - 70 kg 7. samica - 12 m - 30 kg  8. płeć nieokreślona, 18 m - 25 kg  9. płec nieokreślona, 12 m - 35 kg 10. płeć nieokreślona, 12 m - 40 kg 11. płeć nieokreślona, 12 m - 30 kg  12. samiec - 12 m - 30 kg";1;9;2;0;;
2739;78;wielkopolskie;30050 Grodzisk Wielkopolski;3005 grodziski (wielkopolski);Rakoniewice;Łąkie;objęty ograniczeniami;52.112201;16.256004;32;04.03.2020;05.03.2020;17.03.2020;P/20/11847;RT-PCR+;1;padły/padłe;samica - ok. 12 miesięcy, 50 kg;0;0;0;1;;
2740;2149/88;mazowieckie;14120 Mińsk Mazowiecki;1412 miński;Siennica;Borówek;zagrożenia;52.101111;21.551111;32;09.03.2020;09.03.2020;16.03.2020;P/20/11928;RT-PCR+;1;odstrzelony;  1.samica - 48 m-cy 29 kg;0;0;0;0;;
2741;2150/89;mazowieckie;14120 Mińsk Mazowiecki;1412 miński;Siennica;Borówek;zagrożenia;52.101111;21.551111;32;09.03.2020;09.03.2020;16.03.2020;P/20/11927;RT-PCR+;1;odstrzelony;"1. samiec - 48 m - 27 kg; ";0;0;0;0;;
2742;155;podkarpackie;18120 Nisko;1812 niżański;Krzeszów;Koziarnia;objęty ograniczeniami;50.395;22.3064;32;22.06.2020;22.06.2020;26.06.2020;P/20/27109;IPT+;1;odstrzelony;1. samica - 14 m - 50 kg;0;0;0;0;;
2743;444;lubelskie;06200 Zamość;0620 zamojski;Zwierzyniec;Wywłoczka;objęty ograniczeniami;50.5996;22.913;30;08.04.2020;14.04.2020;20.04.2020;P/20/17472;RT-PCR+;1;padły/padłe;samica - 12 m - 35 kg;1;0;0;0;;
2744;445;lubelskie;06200 Zamość;0620 zamojski;Zwierzyniec;Florianka;objęty ograniczeniami;50.5615;23.003;30;07.04.2020;08.04.2020;20.04.2020;P/20/17469;RT-PCR+;1;padły/padłe;samica - 12 m - 35 kg;1;0;0;0;;
2745;446;lubelskie;06140 Puławy;0614 puławski;Kurów;Dęba;objęty ograniczeniami;51.442;22.1425;32;16.04.2020;17.04.2020;21.04.2020;P/20/17619 P/20/17620;RT-PCR+;2;padły/padłe;1. samica - 36 m - 80 kg 2. samica 24 m - 50 kg;2;0;0;0;;
2746;447;lubelskie;06140 Puławy;0614 puławski;Końskowola;Wronów;objęty ograniczeniami;51.4497;22.0495;32;14.04.2020;17.04.2020;21.04.2020;P/20/17621;RT-PCR+;1;padły/padłe;samiec - 24 m - 60 kg;1;0;0;0;;
2747;448;lubelskie;06090 Lublin;0609 lubelski;Wysokie;Biskupie Kolonia;zagrożenia;50.8596;22.6337;32;20.04.2020;21.04.2020;22.04.2020;P/20/17857;RT-PCR+;1;padły/padłe;samica - 18 m - 45 kg;1;0;0;0;;
2748;449;lubelskie;06020 Biłgoraj;0602 biłgorajski;Biłgoraj;Wola Dereźniańska;objęty ograniczeniami;50.4896;22.6495;32;20.04.2020;21.04.2020;22.04.2020;P/20/17871;RT-PCR+;2;padły/padłe;1. samiec - 36 m - 80 kg 2. samica - 36 m - 70 kg;0;2;0;0;;
2749;450;lubelskie;06090 Lublin;0609 lubelski;Jabłonna;Sachalin;objęty ograniczeniami;51.0644;22.6803;32;18.04.2020;21.04.2020;23.04.2020;P/20/18008;ELISA+IPT+;1;odstrzelony;samica - 24 m - 55 kg;0;0;0;0;;
2750;451;lubelskie;06020 Biłgoraj;0602 biłgorajski;Biszcza;Bukowina;objęty ograniczeniami;50.3951;22.712;32;20.04.2020;21.04.2020;23.04.2020;P/20/18024;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 40 kg;0;0;0;0;;
2751;452;lubelskie;06200 Zamość;0620 zamojski;Skierbieszów;Sławęcin;objęty ograniczeniami;50.8087;23.4093;30;17.04.2020;21.04.2020;27.04.2020;P/20/18399;RT-PCR+;4;padły/padłe;1-4. b.d., 18 m - 40 kg;0;0;4;0;;
2752;453;lubelskie;06200 Zamość;0620 zamojski;Łabunie;Bródek;objęty ograniczeniami;50.682;23.4097;32;21.04.2020;22.04.2020;27.04.2020;P/20/18399;RT-PCR+;1;padły/padłe;samiec - 18 m - 40 kg;0;0;1;0;;
2753;454;lubelskie;06200 Zamość;0620 zamojski;Łabunie;Łabunie Reforma;objęty ograniczeniami;50.6144;23.3485;32;20.04.2020;22.04.2020;27.04.2020;P/20/18399;RT-PCR+;1;padły/padłe;samiec - 12 m - 35 kg;1;0;0;0;;
2754;455;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Susiec;Rebizanty;zagrożenia;50.3905;23.2193;30;14.04.2020;14.04.2020;20.04.2020;P/20/17470;RT-PCR+;1;padły/padłe;samica - 24 m - 65 kg;0;0;1;0;;
2755;82;podlaskie;20120 Suwałki;2012 suwalski;Bakałarzewo;Bakałarzewo;objęty ograniczeniami;54.106716;22.649174;32;31.05.2020;01.06.2020;18.06.2020;P/20/25592;RT-PCR+;1;padły/padłe;samiec - do 2 lat, ok 70 kg;1;0;0;0;;
2756;83;podlaskie;20100 Siemiatycze;2010 siemiatycki;Grodzisk;Koryciny;objęty ograniczeniami;52.639365;22.821569;30;10.06.2020;12.06.2020;18.06.2020;P/20/25593;RT-PCR+;1;padły/padłe;Nie określono, 3 lata, 60 kg1;;
2757;862/2020;warmińsko-mazurskie;28080 Kętrzyn;2808 kętrzyński;Kętrzyn;Nakomiady;objęty ograniczeniami;54.01390;21.42801;32;29.04.2020;04.05.2020;14.05.2020;P/20/20661;IPT+;1;odstrzelony;"1. płeć samica - 24 m - 39 kg";0;0;0;0;;
2758;863/2020;warmińsko-mazurskie;28080 Kętrzyn;2808 kętrzyński;Kętrzyn;Nakomiady;objęty ograniczeniami;54.01159;21.46235;32;03.05.2020;04.05.2020;14.05.2020;P/20/20661;IPT+;1;odstrzelony;"1. płeć samica - 24 m - 33 kg";0;0;0;0;;
2759;864/2020;warmińsko-mazurskie;28040 Elbląg;2861 Elbląg;Miasto Elbląg;Elbląg (Dąbrowa);objęty ograniczeniami;54.1925;19.473611;30;05.05.2020;08.05.2020;14.05.2020;P/20/20630;RT-PCR+;1;padły/padłe;  1. samica - 24 m - 60 kg;;;1;;;
2760;865/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Miłakowo;Raciszewo;objęty ograniczeniami;53.994237;20.123985;32;02.05.2020;05.05.2020;14.05.2020;P/20/20650;RT-PCR+;1;odstrzelony;1. samiec - 24 m - 52 kg;0;0;0;0;;
2761;866/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Gubity;zagrożenia;53.870408;20.071000;30;03.04.2020;06.05.2020;14.05.2020;P/20/20687;RT-PCR+;1;padły/padłe;1. samiec - 48 m - 80 kg;0;1;0;0;;
2762;867/2020;warmińsko-mazurskie;28090 Lidzbark Warmiński;2809 lidzbarski;Kiwity;Tolniki Wielkie;zagrożenia;54.068972;20.711583;30;27.04.2020;04.05.2020;14.05.2020;P/20/20663;RT-PCR+;2;padły/padłe;1.samiec - 24m , 45 kg,                  2. samiec - 24m , 40 kg;2;
2763;868/2020;warmińsko-mazurskie;28090 Lidzbark Warmiński;2809 lidzbarski;Lidzbark warmiński;Miłogórze;zagrożenia;54.068625;20.480908;30;27.04.2020;04.05.2020;14.05.2020;P/20/20663;RT-PCR+;1;padły/padłe;1. samiec - 24m, 50 kg;1;
2764;869/2020;warmińsko-mazurskie;28020 Braniewo;2802 braniewski;Frombork;Jędrychowo;objęty ograniczeniami;54.303121;19.711859;32;29.04.2020;05.05.2020;14.05.2020;P/20/20631;ELISA+IPT+;1;odstrzelony;samiec - 4 lata, 79 kg;;
2765;870/2020;warmińsko-mazurskie;28020 Braniewo;2802 braniewski;Braniewo;Zawierz;objęty ograniczeniami;54.351283;19.820780;32;30.04.2020;05.05.2020;14.05.2020;P/20/20631;ELISA+IPT+;1;odstrzelony;samiec - 2 lata, 45 kg;;
2766;673;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Wysokie;zagrożenia;52.017851;15.455809;32;17.06.2020;17.06.2020;29.06.2020;P/20/27344;RT-PCR+;1;odstrzelony;1. samica - 24 m - 35 kg;1;0;0;0;;
