NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości
3499;47;dolnośląskie;02030 Głogów;0203 głogowski;Głogów;Grodziec Mały;zagrożenia;51.682951;16.052322;32;26.10.2020;27.10.2020;05.11.2020;P/20/50273;"RT-PCR+ELISA+IPT+";1;odstrzelony;1. samiec - 48 m - 60 kg;0;0;0;0
3500;48;dolnośląskie;02030 Głogów;0203 głogowski;Głogów;Grodziec Mały;zagrożenia;51.68562;16.053348;32;26.10.2020;27.10.2020;05.11.2020;P/20/50273;ELISA+IPT+;1;odstrzelony;1. samica - 48 m - 60 kg;0;0;0;0
3501;1237/2020;warmińsko-mazurskie;28060 Giżycko;2806 giżycki;Ryn;100 Knis;objęty ograniczeniami;53.98933;21.557509;32;26.10.2020;29.10.2020;04.11.2020;P/20/50009;IPT+;1;odstrzelony;Samica, 24 m-cy , waga 76kg;;;;
3502;212;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Radruż;zagrożenia;50.1626;23.3766;32;29.10.2020;03.11.2020;05.11.2020;P/20/50269;RT-PCR+;2;padły/padłe;"płeć nieokreślona, 20 kg, 6 miesięcy; samica - 20 kg, 6 miesięcy";0;1;0;1
3503;213;podkarpackie;18090 Lubaczów;1809 lubaczowski;Lubaczów;Tymce;objęty ograniczeniami;50.1974;23.2438;32;29.10.2020;03.11.2020;05.11.2020;P/20/50271;RT-PCR+;1;padły/padłe;płeć nieokreślona, 40 kg, 13 miesięcy;0;0;1;0
3504;214;podkarpackie;18090 Lubaczów;1809 lubaczowski;Cieszanów;Stary Lubliniec;zagrożenia;50.3020;23.0641;32;29.10.2020;03.11.2020;05.11.2020;P/20/50269;RT-PCR+;1;padły/padłe;samica - 80 kg, 3 lata;0;1;0;0
3505;215;podkarpackie;18140 Przeworsk;1814 przeworski;Sieniawa;Dobra;zagrożenia;50.217169;22.680811;32;02.11.2020;03.11.2020;05.11.2020;P/20/50270;ELISA+IPT+;1;odstrzelony;samica - 70 kg, 3 lata;1;0;0;0
3506;898;lubuskie;08100 Żagań;0810 żagański;Żagań;Jelenin -  Stypułów;objęty ograniczeniami;51.69406;15.49946;32;27.10.2020;27.10.2020;30.10.2020;P/20/50320;RT-PCR+;1;zabity w wypadku;1. samiec - 48 m - 80 kg;0;0;1;0
3507;899;lubuskie;08080 Świebodzin;0808 świebodziński;Lubrza;Bucze ;objęty ograniczeniami;52.2713;15.366;32;02.11.2020;04.11.2020;06.11.2020;P/20/50480;RT-PCR+;1;padły/padłe;1. samiec - 36m - 50 kg;1;0;0;0
3508;900;lubuskie;08080 Świebodzin;0808 świebodziński;Lubrza;Zagórze;objęty ograniczeniami;52.25409;15.30749;32;04.11.2020;04.11.2020;06.11.2020;P/20/50481;RT-PCR+;2;padły/padłe;1. płeć nieznana, wiek nieznany, szczątki 10kg 2.samiec - 12m - 30 kg;0;1;0;1
3509;901;lubuskie;08050 Ośno Lubuskie;0805 słubicki;Górzyca;Górzyca;objęty ograniczeniami;52.506266;14.629406;32;02.11.2020;03.11.2020;06.11.2020;P/20/50482;RT-PCR+;1;padły/padłe;1 samiec - 24 m - 80 kg;0;1;0;0
3510;902;lubuskie;08050 Ośno Lubuskie;0805 słubicki;Górzyca;Górzyca;objęty ograniczeniami;52.494161;14.709882;32;01.11.2020;02.11.2020;09.11.2020;P/20/50741;RT-PCR+;1;padły/padłe;1 samiec - 8 m - 25 kg;1;0;0;0
3511;903;lubuskie;08110 Lubsko;0811 żarski;Przewóz;Potok;objęty ograniczeniami;51.49964;14.85914;32;02.11.2020;02.11.2020;06.11.2020;P/20/50479;RT-PCR+;1;padły/padłe;1.płeć nieznana, wiek nieznany, ok. 20 kg;0;1;0;0
3512;904;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Nowogród Bobrzański;Krzywa;objęty ograniczeniami;51.852386;15.191336;32;27.10.2020;30.10.2020;09.11.2020;P/20/50734;RT-PCR+;1;padły/padłe;1. samica - 36 m - 70 kg;0;1;0;0
3513;905;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zielona Góra;Chynów;zagrożenia;51.97572;15.511;32;28.10.2020;30.10.2020;09.11.2020;P/20/50733;RT-PCR+;1;padły/padłe;"1. samiec - 48 m - 90 kg";1;0;0;0
3514;906;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zielona Góra;Łężyca;zagrożenia;52.010882;15.490848;32;29.10.2020;30.10.2020;09.11.2020;P/20/50731;RT-PCR+;1;padły/padłe;1. samica - 24 m - 50kg;1;0;0;0
3515;907;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zielona Góra;Ochla;zagrożenia;51.884569;15.435134;32;30.10.2020;04.11.2020;09.11.2020;P/20/50725;RT-PCR+;1;padły/padłe;1. samica - 12 m - 20 kg;1;0;0;0
3516;908;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Świdnica;zagrożenia;51.894641;15.405179;32;29.10.2020;30.10.2020;09.11.2020;P/20/50732;RT-PCR+;1;padły/padłe;1. samiec - 12 m - 20 kg;0;1;0;0
3517;909;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Świdnica;zagrożenia;51.894041;15.365048;32;30.10.2020;04.11.2020;09.11.2020;P/20/50724;RT-PCR+;1;padły/padłe;1.  samiec - 36 m - 80 kg;0;1;0;0
3518;910;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Maszewo;Rzeczyca;objęty ograniczeniami;52.167826;14.9193783;32;28.10.2020;28.10.2020;09.11.2020;P/20/50745;RT-PCR+;1;padły/padłe;1. samiec - 8 m - 20 kg;1;0;0;0
3519;911;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Maszewo;Skórzyn;objęty ograniczeniami;52.114833;15.039861;32;28.10.2020;29.10.2020;09.11.2020;P/20/50742 P/20/50744  P/20/50743 P/20/50738  P/20/50737 ;RT-PCR+;9;padły/padłe;1.płeć nn, wiek nn, waga nn               2.samica - 48 m - 80 kg  3.samiec - 8 m - 20 kg 4.samiec - 8 m - 28 kg 5.saqmiec, 8 m - 20 kg 6.samica - 48 m - 80 kg 7.samica - 8 m - 30 kg 8.samica - 36 m-cy/ 60 kg 9.samica - 8 m - 22 kg ;5;3;1;0
3520;912;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Bytnica;Budachów;objęty ograniczeniami;52.16925;15.069611;32;28.10.2020;28.10.2020;09.11.2020;P/20/50730;RT-PCR+;1;padły/padłe;1. samica - 8 m - 25 kg;1;0;0;0
3521;913;lubuskie;08070 Sulęcin;0807 sulęciński;Torzym;Grabów;ochronny;52.33191;15.10137;32;02.11.2020;03.11.2020;09.11.2020;P/20/50792;RT-PCR+;1;odstrzelony;1. samica - 12 m - 25 kg;1;0;0;0
3522;914;lubuskie;08100 Żagań;0810 żagański;Niegosławice;Wilczyce;objęty ograniczeniami;51.66106;15.84252;32;23.10.2020;23.10.2020;02.11.2020;P/20/49405;RT-PCR+;1;padły/padłe;1. samica - 12 m - 20 kg;0;1;0;0
3523;216;podkarpackie;18040 Jarosław;1804 jarosławski;Jarosław;Wola Buchowska ;zagrożenia;50.124967;22.610131;32;03.11.2020;04.11.2020;09.11.2020;P/20/51640;"RT-PCR+IPT+";1;odstrzelony;1. samiec -24 miesiące, 40 kg;0;0;0;0
3524;1238/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Kudypy;zagrożenia;53.7625;20.3874;32;21.10.2020;27.10.2020;04.11.2020;P/20/50004;RT-PCR+;1;odstrzelony;samiec - 7 m - 20 kg;;;;
3525;1239/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jonkowo;Stare Kawkowo;zagrożenia;53.8410;20.1686;32;22.10.2020;27.10.2020;04.11.2020;P/20/50004;RT-PCR+;1;odstrzelony;samica - 6 m - 84 kg;;;;
3526;1240/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Olsztynek;Tomaszyn;objęty ograniczeniami;53.6752;20.1947;32;25.10.2020;27.10.2020;04.11.2020;P/20/50003;RT-PCR+;1;odstrzelony;samica - 5 lat, 90 kg;;;;
3527;1241/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Olsztynek;Tomaszyn;objęty ograniczeniami;53.6752;20.1947;32;25.10.2020;27.10.2020;04.11.2020;P/20/50003;RT-PCR+;1;odstrzelony;samiec - 3 lat, 58 kg;;;;
