NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
3259;43;dolnośląskie;02030 Głogów;0203 głogowski;Kotla;Chociemyśl;zagrożenia;51.737327;16.005487;32;14.09.2020;15.09.2020;25.09.2020;P/20/42730;ELISA+IPT+;1;odstrzelony;1. samiec - 36 m - 40 kg;0;0;0;0;
3260;2217/156;mazowieckie;14290 Sokołów Podlaski;1429 sokołowski;Kosów Lacki;Jakubiki;objęty ograniczeniami;52.652042;22.147381;32;22.09.2020;22.09.2020;26.09.2020;P/20/42868;IPT+;1;odstrzelony;1. samiec - 48 m - 101 kg;0;0;0;0;
3261;44;dolnośląskie;02030 Głogów;0203 głogowski;Żukowice;Góra Św. Anny;zagrożenia;51.670083;15.847866;32;09.09.2020;15.09.2020;26.09.2020;P/20/42796;RT-PCR+;1;padły/padłe;1. samica - 3 m - 10 kg;0;1;0;0;
3262;45;dolnośląskie;02160 Polkowice;0216 polkowicki;Gaworzyce;Dalków Cyranka;zagrożenia;51.663981; 15.863440;32;09.09.2020;15.09.2020;25.09.2020;P/20/42797;RT-PCR+;1;padły/padłe;1 .nieokreślona, 24m, 50 kg                                        ;0;1;0;0;
3263;1163/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Wenecja;zagrożenia;53.8638607;19.8707227;30;14.09.2020;15.09.2020;24.09.2020;P/20/42442;RT-PCR+;1;padły/padłe;1.nieokreślona, 4 m - 5 kg  ;0;0;1;0;
3264;1164/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Małdyty;Dziśnity;zagrożenia;53.8274392;19.7821344;30;14.09.2020;15.09.2020;24.09.2020;P/20/42442;RT-PCR+;1;padły/padłe;1. samica - 8 m - 14 kg  ;0;1;0;0;
3265;1165/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Ostróda;Pancerzyn;objęty ograniczeniami;53.5915;20.0527;32;13.09.2020;15.09.2020;24.09.2020;P/20/42441;RT-PCR+;1;odstrzelony;1.samica - 12 m - 30 kg  ;0;0;0;0;
3266;819;lubuskie;08080 Świebodzin;0808 świebodziński;Skąpe;Rokitnica;zagrożenia;52.172636;15.411434;32;17.09.2020;18.09.2020;24.09.2020;P/20/42445;RT-PCR+;1;padły/padłe;nn,nn, 10 kg;0;0;0;1;
3267;820;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Wilkanowo;zagrożenia;51.919269;15.425967;32;17.09.2020;18.09.2020;24.09.2020;P/20/42456;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, wiek nieokreślony, 30 kg;0;0;0;1;
3268;821;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Królikowice;zagrożenia;51.709757;15.762836;32;16.09.2020;18.09.2020;24.09.2020;P/20/42457;RT-PCR+;1;padły/padłe;nieokreślona, 12 m - 10kg;0;0;0;1;
3269;99;podlaskie;20120 Suwałki;2012 suwalski;Filipów;Garbas Pierwszy;objęty ograniczeniami;54.150673;22.601624;32;16.09.2020;16.09.2020;28.09.2020;P/20/42712;IPT+;1;odstrzelony;samica - do 1 roku,30 kg;0;0;0;0;
3270;168;wielkopolskie;30160 Oborniki;3016 obornicki;Oborniki;Kowanówko;poza obszarami;52.677369;16.839169;32;17.09.2020;18.09.2020;26.09.2020;P/20/42867;RT-PCR+;1;zabity w wypadku;"1. płeć nieokreślona, 12 mc, 10 kg";0;0;1;0;
3271;194;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Podemszczyzna ;objęty ograniczeniami;50.2161;23.2851;30;18.09.2020;22.09.2020;26.09.2020;P/20/42878;RT-PCR+;1;padły/padłe;1. samica - 36 m - 80 kg;1
3272;195;podkarpackie;18090 Lubaczów;1809 lubaczowski;Lubaczów;Basznia Górna;objęty ograniczeniami;50.1831;23.2961;30;19.09.2020;22.09.2020;26.09.2020;P/20/42878;RT-PCR+;1;padły/padłe;1. samica - 36 m - 90 kg;1
3273;196;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Horyniec-Zdrój;objęty ograniczeniami;50.1879;23.3161;30;19.09.2020;22.09.2020;26.09.2020;P/20/42878;RT-PCR+;1;padły/padłe;1. samiec - 36 m - 70 kg;;;1;;
3274;197;podkarpackie;18040 Jarosław;1804 jarosławski;Wiązownica;Mołodycz;zagrożenia;50.168266;22.820185;32;21.09.2020;22.09.2020;26.09.2020;P/20/42876;"RT-PCR+IPT+";1;odstrzelony;1. samiec - 7 m - 15 kg;
3275;2218/157;mazowieckie;14280 Sochaczew;1428 sochaczewski;Młodzieszyn;Januszew, obwód nr 365;objęty ograniczeniami;52.365556;20.15825;32;21.09.2020;22.09.2020;28.09.2020;P/20/43194;IPT+;1;odstrzelony;1. samiec - 36 m - waga 60 kg;1;0;0;0;
3276;1166/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7568;20.4986;32;09.09.2020;15.09.2020;24.09.2020;P/20/42443;RT-PCR+;1;padły/padłe;samica - 6 m - 30 kg;1
3277;1167/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7515;20.5031;32;06.09.2020;15.09.2020;24.09.2020;P/20/42443;RT-PCR+;1;padły/padłe;samica - 8 m - 40 kg;1
3278;1168/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7519;20.5030;32;06.09.2020;15.09.2020;24.09.2020;P/20/42443;RT-PCR+;1;padły/padłe;samiec - 8 m - 40 kg;1
3279;1169/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7827;20.5256;32;09.09.2020;15.09.2020;24.09.2020;P/20/42443;RT-PCR+;1;padły/padłe;samica - 10 m - 60 kg;1
3280;1170/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7906;20.5219;32;06.09.2020;15.09.2020;24.09.2020;P/20/42443;RT-PCR+;1;padły/padłe;samiec - 12 m - 100 kg;1
