NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2250;463;lubelskie;06140 Puławy;0614 puławski;Końskowola;Sielce;objęty ograniczeniami;51.425401;22.073739;32;28.04.2020;29.04.2020;30.04.2020;P/20/18996;RT-PCR+;1;padły/padłe;samiec - b.d., 70 kg;1;0;0;0;;
2251;133;podkarpackie;18200 Tarnobrzeg;1820 tarnobrzeski;Nowa Dęba;Cygany;objęty ograniczeniami;50.499;21.726;32;27.04.2020;28.04.2020;04.05.2020;P/20/19067;IPT+;1;odstrzelony;1. samica - 15 m - 35 kg         ;;
2252;134;podkarpackie;18200 Tarnobrzeg;1820 tarnobrzeski;Nowa Dęba;Cygany;objęty ograniczeniami;50.499;21.726;32;27.04.2020;28.04.2020;04.05.2020;P/20/19067;IPT+;1;odstrzelony z objawami;1. samica - 18 m - 50 kg;;
2253;135;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Pawłowa;objęty ograniczeniami;50.261139;22.769439;32;20.04.2020;28.04.2020;04.05.2020;P/20/19063;RT-PCR+;1;padły/padłe;1. samica - 24 m - 40 kg;;1
2254;136;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Majdan Sieniawski;objęty ograniczeniami;50.284389;22.777111;32;27.04.2020;29.04.2020;04.05.2020;P/20/19087;RT-PCR+;1;padły/padłe;1. samiec - 24 m - 70 kg;1;
2255;137;podkarpackie;18120 Nisko;1812 niżański;Ulanów;Bieliny;objęty ograniczeniami;50.438472;22.304417;30;24.04.2020;27.04.2020;04.05.2020;P/20/19088;RT-PCR+;1;padły/padłe;1. samiec - 24 m - 60 kg;;;1;;;
2256;125;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;Wolsztyn ;Wilcze ;objęty ograniczeniami;52.02668;15.996128;32;20.04.2020;21.04.2020;30.04.2020;P/20/18960;RT-PCR+;2;padły/padłe;"1. samiec - 36 m - 70 kg 2. płec nie określona, 8 m - 15 kg";0;2;0;0;;
2257;126;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;Przemęt ;Siekowo;objęty ograniczeniami;52.068051;16.343388;32;20.04.2020;21.04.2020;30.04.2020;P/20/18960;RT-PCR+;1;padły/padłe;1. samica - 12 m - 40 kg ;0;1;0;0;;
2258;127;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;Wolsztyn ;Kębłowo ;objęty ograniczeniami;52.038241;16.068301;32;20.04.2020;21.04.2020;30.04.2020;P/20/18960;RT-PCR+;1;padły/padłe;1. płec nie określona, 36 m - 80 kg;0;1;0;0;;
2259;128;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;Wolsztyn ;Nowa Dabrowa ;objęty ograniczeniami;52.068048;16.184789;32;20.04.2020;21.04.2020;30.04.2020;P/20/18960;RT-PCR+;1;padły/padłe;1. płec nie określona, 6 m - 30 kg;0;0;1;0;;
2260;129;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;Wolsztyn ;Wroniawy ;objęty ograniczeniami;52.055479;16.202618;32;20.04.2020;21.04.2020;30.04.2020;P/20/18960;RT-PCR+;1;padły/padłe;1. samiec - 24 m - 60 kg ;0;1;0;0;;
2261;809/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Kowale Oleckie;Drozdówko;zagrożenia;54.170448;22.474693;32;18.04.2020;20.04.2020;30.04.2020;P/20/18841;"RT-PCR+IPT+";1;odstrzelony;samiec - 24 m - 55 kg;;
2262;810/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jeziorany;Krokowo;zagrożenia;53.9460 ;20.7015 ;30;20.04.2020;23.04.2020;30.04.2020;P/20/18851;RT-PCR+;1;padły/padłe;samica - 24 m - 50 kg;1;
2263;811/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jeziorany;Studzianka;zagrożenia;53.9507 ;20.6030  ;30;20.04.2020;23.04.2020;30.04.2020;P/20/18851;RT-PCR+;1;padły/padłe;samica - 24 m - 50 kg;1;
2264;812/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Dobre Miasto;Cerkiewnik;zagrożenia;53.9155 ;20.4092 ;30;21.04.2020;23.04.2020;30.04.2020;P/20/18851;RT-PCR+;1;padły/padłe;nieokreślona, 24 m - 40 kg1;;
2265;813/2020;warmińsko-mazurskie;28040 Elbląg;2861 Elbląg;M. Elbląg;Elbląg (Próchnik);objęty ograniczeniami;54.24789;19.47332;30;20.04.2020;21.04.2020;30.04.2020;P/20/18844;RT-PCR+;1;padły/padłe;1. samica - 12 m - 25 kg;1;
2266;557;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Buchałów;objęty ograniczeniami;51.922188;15.341786;32;26.04.2020;28.04.2020;30.04.2020;P/20/18976;RT-PCR+;1;padły/padłe;1.samiec - 24 m - 40 kg;1;0;0;0;;
2267;558;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Bojadła;Klenica;objęty ograniczeniami;51.989135;15.814293;32;27.04.2020;28.04.2020;30.04.2020;P/20/18977;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 24 m - 20 kg ;0;0;1;0;;
2268;559;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Ledno-Głęboka;objęty ograniczeniami;52.000158;15.649031;32;27.04.2020;28.04.2020;30.04.2020;P/20/18977;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 24 m - 10 kg;0;0;0;1;;
2269;560;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Trzebiechów;objęty ograniczeniami;52.018717;15.773357;32;27.04.2020;28.04.2020;30.04.2020;P/20/18977;RT-PCR+;1;padły/padłe;1. samica - 48 m - 80 kg;0;0;1;0;;
