NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
1800;360;lubelskie;06090 Lublin;0609 lubelski;Krzczonów;Krzczonów Trzeci;objęty ograniczeniami;50.9763;22.7522;32;23.03.2020;24.03.2020;27.03.2020;P/20/14126;RT-PCR+;1;padły/padłe;samica - 36 m - 100 kg;0;1;0;0;;
1801;361;lubelskie;06020 Biłgoraj;0602 biłgorajski;Turobin;Kolonia Guzówka;zagrożenia;50.8672;22.7337;30;16.03.2020;24.03.2020;27.03.2020;P/20/14129;RT-PCR+;1;padły/padłe;samiec - 12 m - 50 kg;1;0;0;0;;
1802;362;lubelskie;06020 Biłgoraj;0602 biłgorajski;Frampol;Teodorówka Kolonia;zagrożenia;50.685;22.738;32;16.03.2020;24.03.2020;27.03.2020;P/20/14129;RT-PCR+;1;padły/padłe;samica - 18 m - 55 kg;0;1;0;0;;
1803;363;lubelskie;06020 Biłgoraj;0602 biłgorajski;Tereszpol;Panasówka;zagrożenia;50.6029;22.838;30;18.03.2020;24.03.2020;27.03.2020;P/20/14129;RT-PCR+;1;padły/padłe;samica - 18 m - 50 kg;1;0;0;0;;
1804;364;lubelskie;06020 Biłgoraj;0602 biłgorajski;Tereszpol;Szozdy;objęty ograniczeniami;50.5719;22.951;30;17.03.2020;24.03.2020;27.03.2020;P/20/14131;RT-PCR+;1;padły/padłe;samiec - 12 m - 45 kg;1;0;0;0;;
1805;365;lubelskie;06020 Biłgoraj;0602 biłgorajski;Aleksandrów;Sigła;objęty ograniczeniami;50.4665;22.9648;30;17.03.2020;24.03.2020;27.03.2020;P/20/14131;RT-PCR+;1;padły/padłe;samica - 18 m - 65 kg;1;0;0;0;;
1806;366;lubelskie;06020 Biłgoraj;0602 biłgorajski;Tarnogród;Luchów Górny;objęty ograniczeniami;50.3203;22.6869;30;17.03.2020;24.03.2020;27.03.2020;P/20/14131;RT-PCR+;1;padły/padłe;samiec - do 12 m - 25 kg;1;0;0;0;;
1807;367;lubelskie;06020 Biłgoraj;0602 biłgorajski;Księżpol;Stare Króle;objęty ograniczeniami;50.4415;22.7677;30;23.03.2020;27.03.2020;31.03.2020;P/20/14538;RT-PCR+;1;padły/padłe;samica - 12 m - 40 kg;0;1;0;0;;
1808;368;lubelskie;06020 Biłgoraj;0602 biłgorajski;Księżpol;Markowicze Cegielnia;objęty ograniczeniami;50.4514;22.7603;30;23.03.2020;27.03.2020;31.03.2020;P/20/14538;RT-PCR+;1;padły/padłe;samica - 24 m - 50 kg;0;1;0;0;;
1809;369;lubelskie;06020 Biłgoraj;0602 biłgorajski;Tarnogród;Wola Różaniecka;objęty ograniczeniami;50.3119;22.7409;30;23.03.2020;27.03.2020;31.03.2020;P/20/14538;RT-PCR+;1;padły/padłe;samica - 36 m - 80 kg;0;0;1;0;;
1810;370;lubelskie;06200 Zamość;0620 zamojski;Łabunie;Barchaczów;objęty ograniczeniami;50.6757;23.3737;32;18.03.2020;24.03.2020;31.03.2020;P/20/14540;RT-PCR+;1;odstrzelony;samica - 36 m - 55 kg;0;0;0;0;;
1811;371;lubelskie;06200 Zamość;0620 zamojski;Grabowiec;Wolica Uchańska;objęty ograniczeniami;50.8254;23.4819;32;22.03.2020;24.03.2020;31.03.2020;P/20/14677;ELISA+IPT+;1;odstrzelony;samica - 12 m - 36 kg;0;0;0;0;;
1812;372;lubelskie;06200 Zamość;0620 zamojski;Grabowiec;Czechówka;objęty ograniczeniami;50.8635;23.5483;32;20.03.2020;24.03.2020;31.03.2020;P/20/14540 P/20/14677;"RT-PCR+ELISA+IPT+";1;odstrzelony;samiec - 36 m - 80 kg;0;0;0;0;;
1813;373;lubelskie;06050 Janów Lubelski;0605 janowski;Dzwola;Branew Ordynacka;objęty ograniczeniami;50.749;22.5516;32;19.03.2020;23.03.2020;31.03.2020;P/20/14547;RT-PCR+;1;padły/padłe;samiec - 48 m - 90 kg;1;0;0;0;;
1814;374;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Jarczów;Wola Gródecka;zagrożenia;50.4855;23.6282;32;18.03.2020;19.03.2020;31.03.2020;P/20/14544;RT-PCR+;1;padły/padłe;samiec - 12 m - 30 kg;1;0;0;0;;
1815;375;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Jarczów;Gródek;zagrożenia;50.4797;23.6232;32;20.03.2020;23.03.2020;31.03.2020;P/20/14548;RT-PCR+;1;odstrzelony z objawami;samica - 24 m - 60 kg;0;0;0;0;;
1816;376;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Krynice;Dzierążnia;objęty ograniczeniami;50.5679;23.4479;32;20.03.2020;23.03.2020;31.03.2020;P/20/14549;RT-PCR+;1;padły/padłe;samiec - 48 m - 100 kg;0;0;1;0;;
1817;377;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Rachanie;Pawłówka;objęty ograniczeniami;50.5048;23.5121;32;21.03.2020;23.03.2020;31.03.2020;P/20/14549;RT-PCR+;1;padły/padłe;samiec - 24 m - 60 kg;0;0;1;0;;
1818;378;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tarnawatka;Podhucie;objęty ograniczeniami;50.5102;23.4693;32;22.03.2020;23.03.2020;31.03.2020;P/20/14549;RT-PCR+;2;padły/padłe;1. samica - 36 m - 100 kg 2. samica - 24 m - 65 kg;0;0;2;0;;
1819;114;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Dobcza;objęty ograniczeniami;50.232561;22.765;32;23.03.2020;26.03.2020;03.04.2020;P/20/15800;RT-PCR+;2;padły/padłe;"1. samica - 36 m - 90 kg 2. samica - 48 m - 110 kg";2;0;0;0;;
1820;115;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Pawłowa;objęty ograniczeniami;50.257689;22.787311;32;23.03.2020;26.03.2020;03.04.2020;P/20/15800;RT-PCR+;3;padły/padłe;"1. samiec - 12 m - 40 kg 2. samiec - 60 m - 120 kg 3. samica - 12 m - 40 kg";3;0;0;0;;
1821;116;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Majdan Sieniawski;objęty ograniczeniami;50.281139;22.789611;32;23.03.2020;26.03.2020;03.04.2020;P/20/15800;RT-PCR+;2;padły/padłe;"1. samica - 12 m - 40 kg 2. samica - 24 m - 60 kg";2;0;0;0;;
1822;117;podkarpackie;18200 Tarnobrzeg;1864 Tarnobrzeg;M. Tarnobrzeg;Tarnobrzeg;objęty ograniczeniami;50.5483;21.6812;32;22.03.2020;26.03.2020;03.04.2020;P/20/15798;RT-PCR+;1;padły/padłe;1. samiec - 12m, ok 40 kg;1;0;0;0;;
1823;118;podkarpackie;18200 Tarnobrzeg;1864 Tarnobrzeg;M. Tarnobrzeg;Tarnobrzeg;objęty ograniczeniami;50.555556;21.665278;32;25.03.2020;26.03.2020;03.04.2020;P/20/15798;RT-PCR+;1;padły/padłe;1. samica - 14m, ok 40 kg;1;0;0;0;;
1824;639/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Markowo;zagrożenia;54.026125;19.892333;30;18.03.2020;20.03.2020;26.03.2020;P/20/13888;IPT+;1;odstrzelony z objawami;samiec - 12 m - 30 kg;0;0;0;0;;
1825;640/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Stare Juchy;Sikory Juskie;zagrożenia;53.90368;22.27149;32;20.03.2020;23.03.2020;03.04.2020;"P/20/15633";RT-PCR+;1;padły/padłe;samica - 36 m - 120 kg;1;0;0;0;;
1826;641/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Ełk;Mleczkowo;objęty ograniczeniami;53.866535;22.307852;32;26.03.2020;26.03.2020;03.04.2020;P/20/15657;RT-PCR+;5;padły/padłe;1. samiec - 36 m - 60 kg      2.płeć nieokr., 24 m - 50 kg,  3. samica - 36 m - 80 kg,    4.płeć nieokr., 24 m - 30 kg,    5.płeć nieokr., 12 m, 20 kg;3;1;1;0;;
1827;642/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Stare Juchy;Stare Juchy;zagrożenia;53.949194;22.199472;32;25.03.2020;26.03.2020;03.04.2020;P/20/15652;IPT+;1;odstrzelony;samica - 15 m - 40 kg;0;0;0;0;;
1828;643/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Prostki;Dybowo;objęty ograniczeniami;53.68824;22.30263;32;23.03.2020;26.03.2020;03.04.2020;P/20/15653;"RT-PCR+IPT+";1;odstrzelony;samiec - 24 m - 50 kg;0;0;0;0;;
1829;644/2020;warmińsko-mazurskie;28060 Giżycko;2806 giżycki;Giżycko;Wilkasy;zagrożenia;54.0163889;21.721666;30;2020-03-24;2020-03-26;03.04.2020;P/20/15625;RT-PCR+;3;padły/padłe;1. płeć nieokr., 24 m - 50 kg                                                        2. płeć nieokr., 24 m - 50 kg                                                  3.płeć nieokr., 24 m - 50 kg;0;0;3;0;;
1830;645/2020;warmińsko-mazurskie;28090 Lidzbark Warmiński;2809 lidzbarski;Orneta;Karkajny;objęty ograniczeniami;54.082722;20.088139;32;20.03.2020;23.03.2020;03.04.2020;P/20/15623;IPT+;1;odstrzelony;1.samica - 24m, 45 kg ;0;0;0;0;;
1831;646/2020;warmińsko-mazurskie;28090 Lidzbark Warmiński;2809 lidzbarski;Kiwity;Parkity;zagrożenia;54.071583;20.724528;30;22.03.2020;26.03.2020;03.04.2020;P/20/15651;RT-PCR+;5;padły/padłe;1. samiec - 24m, 70 kg, 2.  samiec 24m, 60 kg, 3. samica 36m , 140 kg, 4. samica 24m, 50 kg, 5. samica 24m, 60 kg;5;0;0;0;;
1832;647/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Strużyna;zagrożenia;53.986103;19.933569;30;20.03.2020;24.03.2020;03.04.2020;P/20/15628;RT-PCR+;5;padły/padłe;"1. płeć nieokr., 24 m - 60 kg 2. płeć nieokr., 24 m - 60 kg 3. płeć nieokr., 36 m - 80 kg 4. płeć nieokr., 12 m-cy; 30 kg 5. płeć nieokr., 12 m-cy; 30 kg";0;5;0;0;;
1833;648/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Miłakowo;Warkałki;objęty ograniczeniami;53.991467;20.001231;30;20.03.2020;24.03.2020;03.04.2020;P/20/15629;RT-PCR+;2;padły/padłe;"1. płeć nieokr., 24 m - 60 kg 2. płeć nieokr., 12 m-cy; 30 kg";0;2;0;0;;
1834;649/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Zbożne;zagrożenia;53.981775;19.881814;30;20.03.2020;24.03.2020;03.04.2020;P/20/15628;RT-PCR+;1;padły/padłe;"1. płeć nieokreślona, 12 m-cy; 30 kg";0;1;0;0;;
1835;650/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Kalnik;zagrożenia;53.991444;19.873453;30;20.03.2020;24.03.2020;03.04.2020;P/20/15628;RT-PCR+;2;padły/padłe;"1. płeć nieokr., 48 m-cy; 100 kg 2. płeć nieokr., 12 m-cy; 30 kg";0;2;0;0;;
1836;379;lubelskie;06020 Biłgoraj;0602 biłgorajski;Tereszpol;Panasówka;zagrożenia;50.5959;22.8522;30;23.03.2020;27.03.2020;31.03.2020;P/20/14597;RT-PCR+;2;padły/padłe;1. samica - 18 m - 40 kg 2. samiec - 24 m - 70 kg;2;0;0;0;;
1837;380;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Jarczów;Wola Gródecka;zagrożenia;50.5089;23.6311;32;23.03.2020;23.03.2020;31.03.2020;P/20/14662;RT-PCR+;1;padły/padłe;samiec - 24 m - 70 kg;1;0;0;0;;
1838;381;lubelskie;06060 Krasnystaw;0606 krasnostawski;Łopiennik Górny;Łopiennik Górny;zagrożenia;51.034;23.0692;32;27.03.2020;27.03.2020;31.03.2020;P/20/14810;RT-PCR+;1;padły/padłe;samiec - 24 m - 60 kg;0;0;1;0;;
