NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
3101;609;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Lubycza Królewska;Siedliska;zagrożenia;50.2658;23.5574;32;11.08.2020;11.08.2020;17.08.2020;P/20/35749;RT-PCR+;1;padły/padłe;samiec - 6 m - 20 kg;1;0;0;0;
3102;610;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tomaszów Lubelski;Przeorsk;zagrożenia;50.434;23.5025;30;12.08.2020;13.08.2020;18.08.2020;P/20/35880;RT-PCR+;1;padły/padłe;samiec - 18 m - 40 kg;1;0;0;0;
3103;611;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tomaszów Lubelski;Majdan Górny;zagrożenia;50.4622;23.4918;30;13.08.2020;17.08.2020;22.08.2020;P/20/36507;RT-PCR+;1;padły/padłe;samiec - 36 m - 130 kg;0;0;1;0;
3104;612;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Lubycza Królewska;Rudki;zagrożenia;50.33;23.4611;32;17.08.2020;19.08.2020;26.08.2020;P/20/37075;RT-PCR+ELISA+IPT+;1;odstrzelony;samica - 36 m - 45 kg;0;0;0;0;
3105;613;lubelskie;06020 Biłgoraj;0602 biłgorajski;Frampol;Smoryń;zagrożenia;50.6631;22.7679;32;12.08.2020;17.08.2020;19.08.2020;P/20/35960;RT-PCR+;1;padły/padłe;samica - 24 m - 70 kg;1;0;0;0;
3106;614;lubelskie;06020 Biłgoraj;0602 biłgorajski;Tarnogród;Wola Różaniecka;zagrożenia;50.3087;22.7662;32;13.08.2020;13.08.2020;19.08.2020;P/20/36065;ELISA+IPT+;1;odstrzelony;samiec - 6 m - 15 kg;0;0;0;0;
3107;615;lubelskie;06060 Krasnystaw;0606 krasnostawski;Kraśniczyn;Zastawie;zagrożenia;50.9542;23.3517;32;10.08.2020;14.08.2020;20.08.2020;P/20/36132;ELISA+IPT+;1;odstrzelony;samica - 12 m - 18 kg;0;0;0;0;
3108;616;lubelskie;06200 Zamość;0620 zamojski;Adamów;Bliżów;zagrożenia;50.5322;23.2098;30;17.08.2020;18.08.2020;23.08.2020;P/20/36509;RT-PCR+;1;padły/padłe;samica - 36 m - 80 kg;0;1;0;0;
3109;617;lubelskie;06080 Lubartów;0608 lubartowski;Uścimów;Chudowola;zagrożenia;51.5767;22.31;32;21.08.2020;24.08.2020;26.08.2020;P/20/37045;RT-PCR+;1;padły/padłe;samiec - 48 m - 100 kg;1;0;0;0;
3110;618;lubelskie;06080 Lubartów;0608 lubartowski;Jeziorzany;Krępa;zagrożenia;51.6286;22.3156;32;24.08.2020;25.08.2020;27.08.2020;P/20/37233;RT-PCR+;1;zabity w wypadku;samica - 36 m - 80 kg;1;0;0;0;
