NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć. wiek (w miesiącach). waga;+;++;+++;Kości;
2552;148;wielkopolskie;30130 Leszno;3013 leszczyński;Włoszakowice;Papiernia;objęty ograniczeniami;51.9088889;16.3066666;32;19.05.2020;20.05.2020;01.06.2020;P/20/23074;RT-PCR+;1;padły/padłe;samica - 6 miesięcy, 25 kg;0;1;0;0;
2553;920/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Bisztynek;Bisztynek;zagrożenia;54.0688;20.925;32;21.05.2020;25.05.2020;02.06.2020;P/20/23282;IPT+;1;odstrzelony;samica - 2lata,50kg;;;;
2554;921/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Świętajno;Rogojny;zagrożenia;54.057007;22.214187;32;22.05.2020;25.05.2020;02.06.2020;P/20/23283;IPT+;1;odstrzelony;samiec - 12 m, 36 kg.;;;;
2555;922/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Świętajno;Leśniki;zagrożenia;53.957028;22.368278;32;19.05.2020;25.05.2020;02.06.2020;P/20/23283;IPT+;1;odstrzelony;samica - 24 m- ce, 35 kg;;;;
2556;923/2020;warmińsko-mazurskie;28060 Giżycko;2806 giżycki;Wydminy;128 Dudka;zagrożenia;53.980741;21.980234;32;24.05.2020;26.05.2020;02.06.2020;P/20/23287;IPT+;1;odstrzelony;Samica, 24 m-cy , waga 38kg;;;;
2557;924/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Gronowo Elbląskie;Karczowiska Górne;objęty ograniczeniami;54.12706349;19.354381512;32;24.05.2020;26.05.2020;02.06.2020;P/20/23286;IPT+;1;odstrzelony;1. samica - 24 m - 36 kg
2558;925/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Gronowo Elbląskie;Karczowiska Górne;objęty ograniczeniami;54.132861;19.342308;32;23.05.2020;26.05.2020;02.06.2020;P/20/23286;IPT+;1;odstrzelony;1. samica - 12 m - 22 kg
2559;926/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Elbląg;Przezmark;objęty ograniczeniami;54.138251;19.551406;32;20.05.2020;26.05.2020;02.06.2020;P/20/23286;IPT+;1;odstrzelony;1. samiec - 24 m - 50 kg
2560;927/2020;warmińsko-mazurskie;28020 Braniewo;2802 braniewski;Pieniężno;Pawły;objęty ograniczeniami; 54.2375; 20.354444;32;24.05.2020;25.05.2020;02.06.2020;P/20/23280;IPT+;1;odstrzelony;samica - 2 lata,52 kg;;;;
2561;146;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Majdan Sieniawski;objęty ograniczeniami;50.29071;22.784615;32;25.05.2020;26.05.2020;02.06.2020;P/20/23313;RT-PCR+;1;padły/padłe;1. samiec - 48 m - 90 kg;1;;;;
