NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2028;731/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Prostki;Glinki;objęty ograniczeniami;53.68705;22.32589;32;08.04.2020;09.04.2020;16.04.2020;P/20/17073;RT-PCR+;1;odstrzelony;samiec - 24 m - 60 kg;;
2029;732/2020;warmińsko-mazurskie;28090 Lidzbark Warmiński;2809 lidzbarski;Lubomino;Poborowo;objęty ograniczeniami;54.12367;20.34218;32;31.03.2020;06.04.2020;16.04.2020;P/20/17071;"RT-PCR+,IPT+";1;odstrzelony;1.samica - 24m, 36 kg ;;
2030;733/2020;warmińsko-mazurskie;28090 Lidzbark Warmiński;2809 lidzbarski;Kiwity;Rokitnik;zagrożenia;54.098864;20.808964;32;04.04.2020;06.04.2020;16.04.2020;P/20/17070;IPT+;1;odstrzelony;1.samiec 14m , 50 kg, ;;
2031;734/2020;warmińsko-mazurskie;28090 Lidzbark Warmiński;2809 lidzbarski;Lidzbark Warm;Suryty;zagrożenia;54.025573;20.587048;30;03.04.2020;09.04.2020;16.04.2020;P/20/17089;RT-PCR+;1;padły/padłe;1. samica - 36m, 100 kg;1;
2032;735/2020;warmińsko-mazurskie;28100 Mrągowo;2810 mrągowski;Mikołajki;Mikołajki;objęty ograniczeniami;53.76681;21.53752;30;02.04.2020;06.04.2020;16.04.2020;P/20/17040;RT-PCR+;1;padły/padłe;nieznana, 12 m - 20 kg1;;
2033;2176/115;mazowieckie;14060 Grójec;1406 grójecki;Jasieniec;Ignaców;objęty ograniczeniami;51.78343;21.046662;32;14.04.2020;14.04.2020;16.04.2020;P/20/17083;RT-PCR+;3;padły/padłe;1. Samica, 12 m - 40 kg            2. Samiec, 12 m - 40 kg            3. Samica, 12 m - 40 kg;0;3;0;0;;
2034;490;lubuskie;08040 Nowa Sól;0804 nowosolski;NOWA SÓL;Mesze;zagrożenia;51.907318;15.951856;32;03.04.2020;06.04.2020;14.04.2020;"P/20/16794,P/20/16793,P/20/16769";RT-PCR+;3;padły/padłe;"1. samiec - 12 m -40 kg,2. samica - 12 m -40 kg,3. nieokreślona,12 m -40kg";2;0;1;0;;
2035;491;lubuskie;08040 Nowa Sól;0804 nowosolski;Kolsko;Jesiona;objęty ograniczeniami;51.980882;15.977772;32;03.04.2020;06.04.2020;14.04.2020;"P/20/16792,P/20/16791,P/20/16769";RT-PCR+;3;padły/padłe;"1. samiec - 12 m -40 kg,2. samica - 12 m -40 kg,3. samica -48 m -100kg";2;1;0;0;;
2036;492;lubuskie;08040 Nowa Sól;0804 nowosolski;Kolsko;Sławocin;objęty ograniczeniami;51.989197;15.99946;32;03.04.2020;06.04.2020;14.04.2020;"P/20/16780,P/20/16769";RT-PCR+;3;padły/padłe;"1. samica - 60 m -140 kg,2. samica - 12 m -40 kg,3. samica -48 m -100kg";0;2;1;0;;
2037;493;lubuskie;08040 Nowa Sól;0804 nowosolski;NOWA SÓL;Stany;zagrożenia;51.8298369;15.7753094;32;05.04.2020;08.04.2020;10.04.2020;P/20/16657;RT-PCR+;1;padły/padłe;samiec -24 m - 30 kg;0;0;1;0;;
