NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
3209;96;podlaskie;20130 Wysokie Mazowieckie;2013 wysokomazowiecki;Nowe Piekuty;Jabłoń Śliwowo;objęty ograniczeniami;52.8966;22.6987;32;31.08.2020;31.08.2020;07.09.2020;P/20/39053;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 70 kg;0;0;0;0;
3210;97;podlaskie;20030 Bielsk Podlaski;2003 bielski (podlaski);Bielsk Podlaski;Kotły;zagrożenia;52,80323;23,249119;32;31.08.2020;07.09.2020;17.09.2020;P/20/40933;IPT+;1;odstrzelony;1. samica 36 m - 86 kg;0;0;0;0;
3211;98;podlaskie;20030 Bielsk Podlaski;2003 bielski (podlaski);Boćki;Mołoczki;objęty ograniczeniami;52,598569;23,182719;32;03.09.2020;07.09.2020;17.09.2020;P/20/40934;IPT+;1;odstrzelony;1.samiec 24 m - 86 kg;0;0;0;0;
3212;41;dolnośląskie;02160 Polkowice;0216 polkowicki;Gaworzyce;Dalków Cyranka;zagrożenia;51.635556;15.882222;32;05.09.2020;08.09.2020;18.09.2020;P/20/41121;RT-PCR+;1;padły/padłe;1 .samica - 10m, 20 kg                                        ;1;0;0;1;
3213;42;dolnośląskie;02160 Polkowice;0216 polkowicki;Gaworzyce;Dalków Cyranka;zagrożenia;51.651944;15.882778;32;05.09.2020;08.09.2020;18.09.2020;P/20/41121;RT-PCR+;1;padły/padłe;1 .samica - 2l, 40 kg                                        ;1;0;0;1;
3214;790;lubuskie;08080 Świebodzin;0808 świebodziński;Skąpe;Błonie;zagrożenia;52.199269;15.319343;32;07.09.2020;09.09.2020;12.09.2020;P/20/39998;RT-PCR+;1;padły/padłe;samica -24m -60 kg;1;0;0;0;
3215;791;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Tarnów Bycki;objęty ograniczeniami;51.728485;15.772044;32;03.09.2020;07.09.2020;12.09.2020;P/20/40071;RT-PCR+;1;padły/padłe;samiec - 36 mcy, 60kg;1;0;0;0;
3216;792;lubuskie;08040 Nowa Sól;0804 nowosolski;Kożuchów;Podbrzezie Dolne;objęty ograniczeniami;51.75851;15.59163;32;04.09.2020;07.09.2020;12.09.2020;P/20/40055;RT-PCR+;1;padły/padłe;samica - 12 mcy, 20kg;1;0;0;0;
3217;793;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Królikowice;zagrożenia;51.71159;15.77979;32;06.09.2020;07.09.2020;12.09.2020;"P/20/40066P/20/40053";RT-PCR+;2;padły/padłe;"samiec - 12mcy, 20kg samica - 12mcy, 20kg";2;0;0;0;
3218;794;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Tarnów Bycki;zagrożenia;51.761322;15.794023;32;08.09.2020;09.09.2020;12.09.2020;P/20/40003;RT-PCR+;1;padły/padłe;samiec - 12mcy, 20kg;1;0;0;0;
3219;795;lubuskie;08040 Nowa Sól;0804 nowosolski;NOWA SÓL;NOWA SÓL;zagrożenia;51.790394;15.728551;32;04.09.2020;07.09.2020;12.09.2020;P/20/40067;RT-PCR+;1;odstrzelony;samica - 36 mcy, 80kg;1;0;0;0;
3220;1151/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Górowo Ił.;Lipniki;objęty ograniczeniami;54.336357;20.383008;32;01.09.2020;07.09.2020;17.09.2020;P/20/40938;IPT+;1;odstrzelony;samiec -4lata,93 kg;
3221;1152/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Jezioro  i miejscowośc Bartęźek;zagrożenia;53.8119444;19.8602777;30;08.09.2020;09.09.2020;17.09.2020;P/20/41113;RT-PCR+;1;padły/padłe;1.samiec - 48 m - 120 kg  ;0;1;0;0;
3222;1153/2020;warmińsko-mazurskie;28100 Mrągowo;2810 mrągowski;Sorkwity;Kozarek Wielki;objęty ograniczeniami;53.837957;21.089264;32;09.09.2020;10.09.2020;17.09.2020;P/20/40952;IPT+;1;odstrzelony;samiec - 36 m - 100 kg;1
3223;2216/155;mazowieckie;14010 Białobrzegi;1401 białobrzeski;Wyśmierzyce;Jeruzal, obwód łowiecki 537;objęty ograniczeniami;51.633825;20.897484;32;14.09.2020;15.09.2020;20.09.2020;P/20/41618;RT-PCR+;1;zabity w wypadku;samica - 6 m - 25 kg;0;1;0;0;
3224;1154/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Naterki;zagrożenia;53.7355;20.3821;32;01.09.2020;08.09.2020;17.09.2020;P/20/40936;IPT+;1;odstrzelony;samica - 24 m - 55 kg;
3225;1155/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Kolno;Tejstymy;objęty ograniczeniami;53.9652;20.9305;32;04.09.2020;08.09.2020;17.09.2020;P/20/40935;IPT+;1;odstrzelony;samica - 12 m - 52 kg;
3226;1156/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Kudypy;zagrożenia;53.7675;20.3744;30;07.09.2020;11.09.2020;17.09.2020;P/20/41111;RT-PCR+;1;padły/padłe;nieokreślona, 3 m - 10 kg;1
3227;1157/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7953;20.4045;32;04.09.2020;08.09.2020;17.09.2020;P/20/4111;RT-PCR+;1;padły/padłe;samiec - 24 m - 100 kg;;1;;;
