NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;"Data zgłoszenia";Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości
3389;1206/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Ostróda;Ryn;objęty ograniczeniami;53.588009;20.007629;30;05.10.2020;07.10.2020;16.10.2020;P/20/46532;RT-PCR+;1;padły/padłe;1. samica - 8 m - 26 kg;0;1;0;0
3390;853;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Dąbie;Trzebule;zagrożenia;51.9556813;15.2502593;32;07.10.2020;09.10.2020;16.10.2020;"P/20/46538P/20/46539";RT-PCR+;2;padły/padłe;"1. nn/36 m-cy/50kg2. nn/9 m-cy/25kg";0;2;0;0
3391;854;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Bobrowice;Tarnawa Krośnieńska;zagrożenia;51.918997;15.14518;32;08.10.2020;09.10.2020;16.10.2020;"P/20/46540P/20/46537P/20/46541";RT-PCR+;3;padły/padłe;"1. samica/48 m-cy/70 kg 2. samica/36 m-cy/60 kg 3.samica/8 m-cy/18 kg";0;3;0;0
3392;855;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Dąbie;Trzebule;zagrożenia;51.955416;15.256229;32;08.10.2020;09.10.2020;16.10.2020;P/20/46537;RT-PCR+;1;padły/padłe;nn/6m-cy/nnkg;0;0;0;1
3393;856;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Buków;objęty ograniczeniami;52.142483;15.601883;32;06.10.2020;09.10.2020;16.10.2020;P/20/46535;RT-PCR+;1;padły/padłe;1. samiec - 12 m - 20 kg;0;1;0;0
3394;857;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Letnica;zagrożenia;51.895879;15.336498;32;08.10.2020;09.10.2020;16.10.2020;P/20/46536;RT-PCR+;1;padły/padłe;1. samiec - 12 m - 30 kg;0;1;0;0
3395;858;lubuskie;08040 Nowa Sól;0804 nowosolski;Nowe Miasteczko;Nowe Miasteczko;zagrożenia;51.68939;15.75975;32;06.10.2020;09.10.2020;16.10.2020;P/20/46534;RT-PCR+;1;padły/padłe;samiec - 12 m - 35kg;0;1;0;0
3396;859;lubuskie;08040 Nowa Sól;0804 nowosolski;Kożuchów;Podbrzezie Dolne;zagrożenia;51.76923;15.58826;32;08.10.2020;09.10.2020;16.10.2020;P/ 20/46533;RT-PCR+;1;padły/padłe;samiec - 24 miesiące,40 kg;0;1;0;0
3397;860;lubuskie;08040 Nowa Sól;0804 nowosolski;Otyń;"Ługi ob.163";zagrożenia;51.8678;15.64727;32;06.10.2020;16.10.2020;19.10.2020;P/20/47020;ELISA+IPT+;1;odstrzelony;samica - 36 m -84 kg;1;0;0;0
3398;861;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Drzonów;zagrożenia;51.949889;15.325282;32;09.10.2020;12.10.2020;19.10.2020;P/20/47021;RT-PCR+;1;padły/padłe;1. samica - 24 m - 60 kg;0;1;0;0
3399;862;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Wilkanowo;zagrożenia;51.92195;15.429;32;10.10.2020;12.10.2020;19.10.2020;P/20/47022;RT-PCR+;1;padły/padłe;1. samica - 36 m - 70 kg;0;0;1;0
3400;863;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Świdnica;zagrożenia;51.900569;15.384418;32;11.10.2020;12.10.2020;19.10.2020;P/20/47022;RT-PCR+;1;padły/padłe;1. samiec - 36 m - 70 kg;0;0;0;1
3401;864;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Świdnica;zagrożenia;51.900753;15.382667;32;12.10.2020;14.10.2020;20.10.2020;P/20/47141;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, wiek nieokreślonyy, 20kg;0;0;0;1
3402;865;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Laski;zagrożenia;52.063059;15.2698022;32;13.10.2020;14.10.2020;20.10.2020;P/20/47142;RT-PCR+;1;padły/padłe;1. samica - 36 m - 70 kg;1;0;0;0
3403;866;lubuskie;08010 Gorzów Wielkopolski;0801 gorzowski;Kostrzyn n. Odrą;51;ochronny;52.608109;14.601737;32;11.10.2020;12.10.2020;20.10.2020;P/20/47130;RT-PCR+;1;padły/padłe;1. samica - 12 miesięcy, 30 kg;0;0;1;0
3404;664;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tomaszów Lubelski;Łaszczówka;zagrożenia;50.4471;23.4574;30;28.09.2020;05.10.2020;08.10.2020;P/20/45167;RT-PCR+;1;padły/padłe;samiec - 36 m - 100 kg;0;0;1;0
3405;665;lubelskie;06200 Zamość;0620 zamojski;Zwierzyniec;Kosobudy;zagrożenia;50.6439;23.0529;30;05.10.2020;06.10.2020;08.10.2020;P/20/45168;RT-PCR+;1;padły/padłe;samica - 24 m - 55 kg;0;0;1;0
3406;666;lubelskie;06200 Zamość;0620 zamojski;Zwierzyniec;Kosobudy;zagrożenia;50.651;23.0286;30;05.10.2020;06.10.2020;08.10.2020;P/20/45168;RT-PCR+;1;padły/padłe;samiec - 24 m - 60 kg;0;0;0;1
3407;667;lubelskie;06200 Zamość;0620 zamojski;Szczebrzeszyn;Lipowiec - Kolonia;zagrożenia;50.6708;23.0043;30;05.10.2020;06.10.2020;08.10.2020;P/20/45169;RT-PCR+;2;padły/padłe;1. samica - 24 m - 40 kg 2. samica - 6 m - 15 kg;1;0;0;1
3408;668;lubelskie;06200 Zamość;0620 zamojski;Krasnobród;Hutków;zagrożenia;50.5669;23.2827;32;05.10.2020;06.10.2020;12.10.2020;P/20/45537;ELISA+IPT+;1;odstrzelony;samica - 24 m - 30 kg;0;0;0;0
3409;669;lubelskie;06040 Hrubieszów;0604 hrubieszowski;Uchanie;Miedniki;zagrożenia;50.8882;23.7167;32;04.10.2020;06.10.2020;12.10.2020;P/20/45540;ELISA+IPT+;1;odstrzelony;samiec - 36 m - 90 kg;0;0;0;0
3410;670;lubelskie;06060 Krasnystaw;0606 krasnostawski;Siennica Różana;Wierzchowiny;zagrożenia;51.04;23.4488;32;03.10.2020;09.10.2020;14.10.2020;P/20/45994;ELISA+IPT+;1;odstrzelony;samiec - 60 m - 200 kg;0;0;0;0
3411;671;lubelskie;06140 Puławy;0614 puławski;Kurów;Dęba;objęty ograniczeniami;51.4471;22.1477;32;13.10.2020;14.10.2020;16.10.2020;P/20/46672;RT-PCR+;1;padły/padłe;samiec - 18 m - 30 kg;1;0;0;0
3412;672;lubelskie;06020 Biłgoraj;0602 biłgorajski;Tereszpol;Tereszpol Kukiełki;zagrożenia;50.5535;22.9136;32;11.10.2020;13.10.2020;19.10.2020;P/20/47018;ELISA+IPT+;1;odstrzelony;samica - 18 m - 30 kg;0;0;0;1
3413;1207/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Pasłęk;Talpity;objęty ograniczeniami;54.0064681;19.6632824;32;05.10.2020;13.10.2020;22.10.2020;P/20/47485;IPT+;1;odstrzelony;1. samiec - 36 m - 57 kg;;;;
