NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2387;583;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Radowice;objęty ograniczeniami;52.054817;15.697321;32;03.05.2020;05.05.2020;11.05.2020;P/20/20170;RT-PCR+;2;padły/padłe;"1. płeć nieokreślona, 36 m - 70 kg , 2. płeć nieokreślona, 24 m - 35 kg";0;0;2;0;;
2388;584;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zabór;Droszków;zagrożenia;51.928861;15.671023;32;03.05.2020;05.05.2020;11.05.2020;"P/20/20169,P/20/20171";RT-PCR+;2;odstrzelony z objawami;"1. samiec - 36 m - 60 kg,2. samiec - 36 m - 60 kg";2;0;0;0;;
2389;585;lubuskie;08120 Sława;0812 wschowski;Sława;Spokojna/ Szreniawa;objęty ograniczeniami;51.936328;16.091794;32;27.04.2020;04.05.2020;11.05.2020;P/20/20057;RT-PCR+;1;padły/padłe;SAMICA, 1 M-C, 2kg ;1;0;0;0;;
2390;586;lubuskie;08120 Sława;0812 wschowski;Sława;leśnictwo Polanica, oddział 191a;objęty ograniczeniami;51.936269;16.09185;32;27.04.2020;04.05.2020;11.05.2020;P/20/20083;RT-PCR+;1;padły/padłe;SAMICA, 36 M-CE, 80kg;0;0;1;0;;
2391;587;lubuskie;08120 Sława;0812 wschowski;Sława;Radzyń;objęty ograniczeniami;51.876265;16.057983;32;29.04.2020;04.05.2020;11.05.2020;P/20/20085;RT-PCR+;1;padły/padłe;"NIEOKREŚLONA, 24 M-CE,70kg                                                                            ";0;0;1;0;;
2392;588;lubuskie;08120 Sława;0812 wschowski;Sława;Lipinki;objęty ograniczeniami;51.832586;16.045437;32;29.04.2020;04.05.2020;11.05.2020;P/20/20051;ELISA+IPT+;1;odstrzelony;SAMICA, 12 m - 36kg;1;0;0;0;;
2393;589;lubuskie;08120 Sława;0812 wschowski;Sława;Nowe Strącze;objęty ograniczeniami;51.862789;16.148465;32;05.05.2020;06.05.2020;11.05.2020;P/20/20168;ELISA+IPT+;1;odstrzelony;SAMICA, 24 M-CE, 38kg;1;0;0;0;;
2394;590;lubuskie;08040 Nowa Sól;0804 nowosolski;OTYŃ;NIEDORADZ;zagrożenia;51.8900028;15.6723505;32;30.04.2020;04.05.2020;11.05.2020;"P/20/20054,P/20/20172";RT-PCR+;2;padły/padłe;"nieokreślone,20 kg, nieokreślona, 12 mc,30 kg";0;1;0;1;;
2395;1;pomorskie;22100 Nowy Dwór Gdański;2210 nowodworski (gdański);Nowy Dwór Gdański;Marzęcino;objęty ograniczeniami;54.150254;19.134025;32;12.05.2020;13.05.2020;15.05.2020;P/20/20928   ;ELISA+IPT+;1;odstrzelony;samiec , 24 m - 35 kg;0;0;0;0;;
2396;591;lubuskie;08120 Sława;0812 wschowski;Wschowa;Pszczółkowo;objęty ograniczeniami;51.811233;16.173106;32;06.05.2020;08.05.2020;15.05.2020;"P/20/20762,P/20/20763";RT-PCR+;2;padły/padłe;"1. SAMICA, 24 M-CE, 45kg ,2. SAMICA, DO 12 m - 2kg                                                                           ";2;0;0;0;;
