NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
3165;39;dolnośląskie;02160 Polkowice;0216 polkowicki;Gaworzyce;Dalków Cyranka;zagrożenia;51.666881;15.853356;32;28.08.2020;01.09.2020;11.09.2020;P/20/39728;RT-PCR+;1;padły/padłe;1 .samica - 2 l, 40 kg;1;0;0;1;
3166;40;dolnośląskie;02160 Polkowice;0216 polkowicki;Gaworzyce;Dalków Cyranka;zagrożenia;51.666411;15.853719;32;28.08.2020;01.09.2020;11.09.2020;P/20/39728;RT-PCR+;1;padły/padłe;1 .niezidentyfikowana, 5m, 10 kg                                        ;0;0;1;1;
3167;189;podkarpackie;18090 Lubaczów;1809 lubaczowski;Narol;Ruda Różaniecka;zagrożenia ;50.3084;23.1464;30;07.09.2020;08.09.2020;11.09.2020;P/20/39727;RT-PCR+;1;padły/padłe;1. samica - 24 m - 70 kg;;1;;;
3168;184;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Horyniec-Zdrój;objęty ograniczeniami;50.2062;23.3692;32;26.08.2020;28.08.2020;01.09.2020;P/20/38066;RT-PCR+;1;padły/padłe;1. samica - 5 m - 10 kg;1
3169;185;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Radruż;objęty ograniczeniami;50.1973;23.4104;32;26.08.2020;28.08.2020;01.09.2020;P/20/38067;RT-PCR+;1;padły/padłe;1. samica - 10 m - 30 kg;;1;;;
3170;186;podkarpackie;18090 Lubaczów;1809 lubaczowski;Cieszanów;Nowe Sioło;objęty ograniczeniami;50.2197;23.1969;32;27.08.2020;28.08.2020;01.09.2020;P/20/38065;RT-PCR+;1;padły/padłe;1. samica - 7 m - 18 kg;1
3171;187;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Radruż;objęty ograniczeniami;50.1968;23.4019;32;27.08.2020;28.08.2020;01.09.2020;P/20/38067;RT-PCR+;1;padły/padłe;1. samiec - 10 m - 30 kg;;1;;;
3172;1144/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7543;20.5009;32;02.09.2020;04.09.2020;11.09.2020;P/20/39733;RT-PCR+;1;padły/padłe;samiec - 12 m - 30 kg;1
3173;1145/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7821;20.5286;32;30.08.2020;01.09.2020;11.09.2020;P/20/39729;RT-PCR+;1;padły/padłe;samiec - 12 m - 20 kg;1
3174;1146/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7597;20.5142;32;30.08.2020;01.09.2020;11.09.2020;P/20/39731;RT-PCR+;1;padły/padłe;samica - 48 m - 150 kg;;1;;;
3175;1147/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Olsztynek;Drwęck;objęty ograniczeniami;53.5434;20.2009;30;30.08.2020;01.09.2020;11.09.2020;P/20/39730;RT-PCR+;1;padły/padłe;samiec - 5 m - 40 kg;1
