NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;"Data zgłoszenia";Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
3009;599;lubelskie;06020 Biłgoraj;0602 biłgorajski;Frampol;Pulczynów;zagrożenia;50.6504;22.7584;32;05.08.2020;07.08.2020;11.08.2020;P/20/35003;"RT-PCR+IPT+";1;odstrzelony z objawami;samica - 24 m - 40 kg;0;0;0;0;
3010;600;lubelskie;06020 Biłgoraj;0602 biłgorajski;Potok Górny;Lipiny Dolne;zagrożenia;50.3939;22.4312;32;11.08.2020;12.08.2020;16.08.2020;P/20/35003;"RT-PCR+IPT+";1;padły/padłe;samiec - 12 m - 30 kg;1;0;0;0;
3011;1076/2020;warmińsko-mazurskie;28100 Mrągowo;2810 mrągowski;Mrągowo;Piotrówka;objęty ograniczeniami;53.876277;21.358318;30;06.08.2020;10.08.2020;18.08.2020;P/20/35877;RT-PCR+;1;padły/padłe;samiec - 6 m-c, 15 kg;1
3012;1077/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Łukta;Dragolice;objęty ograniczeniami;53.805266;20.052408;30;07.08.2020;11.08.2020;18.08.2020;P/20/35876;RT-PCR+;1;padły/padłe;1.samiec - 24 m - 60 kg;0;1;0;0;
3013;174;podkarpackie;18090 Lubaczów;1809 lubaczowski;Narol;Narol;zagrożenia;50.3361;23.2951;32;08.08.2020;11.08.2020;17.08.2020;P/20/35745;RT-PCR+;1;padły/padłe;1. samiec - 6 m - 20 kg;1
3014;175;podkarpackie;18120 Nisko;1812 niżański;Krzeszów;Sigiełki;objęty ograniczeniami;50.372333;22.42075;30;10.08.2020;12.08.2020;17.08.2020;P/20/35746;RT-PCR+;1;padły/padłe;1. samica - 36 m - 90 kg;;;1;;
3015;176;podkarpackie;18120 Nisko;1812 niżański;Rudnik nad Sanem;Kopki;objęty ograniczeniami;50.425775;22.303468;32;10.08.2020;10.08.2020;18.08.2020;P/20/35762;"RT-PCR+IPT+";1;odstrzelony;1. samiec - 8 m - 12 kg;
3016;177;podkarpackie;18040 Jarosław;1804 jarosławski;Radymno;Duńkowice;objęty ograniczeniami;49.9753;22.8928;32;06.08.2020;07.08.2020;18.08.2020;P/20/35875;RT-PCR+;1;padły/padłe;1. samica - 3 lata, 80 kg;1
3017;178;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Dziewięcierz;objęty ograniczeniami;50.2069;23.4053;32;06.08.2020;11.08.2020;18.08.2020;P/20/35761;RT-PCR+;1;odstrzelony;1. samica - 18 m - 55 kg;
3018;179;podkarpackie;18090 Lubaczów;1809 lubaczowski;Cieszanów;Gorajec;objęty ograniczeniami;50.2628;23.2033;32;10.08.2020;11.08.2020;18.08.2020;P/20/35761;IPT+;1;odstrzelony;1. samica - 16 m - 55 kg;
3019;732;lubuskie;08040 Nowa Sól;0804 nowosolski;Siedlisko;Borowiec;objęty ograniczeniami;51.7917;15.8902;32;04.08.2020;04.08.2020;10.08.2020;P/20/34675;ELISA+IPT+;1;odstrzelony;samica - 10kg;1;0;0;0;
3020;733;lubuskie;08040 Nowa Sól;0804 nowosolski;Kożuchów;Mirocin Dolny;objęty ograniczeniami;51.775003;15.5463295;32;10.08.2020;12.08.2020;17.08.2020;P/20/35604;RT-PCR+;1;padły/padłe;nieokreślone;0;0;0;1;
3021;734;lubuskie;08080 Świebodzin;0808 świebodziński;Skąpe; Międzylesie ;zagrożenia;52.1542;15.3818;32;11.08.2020;12.08.2020;16.08.2020;P/20/35489;RT-PCR+;1;padły/padłe;1.nn,nn,15kg;0;0;0;1;
3022;735;lubuskie;08080 Świebodzin;0808 świebodziński;Skąpe; Międzylesie ;zagrożenia;52.154795;15.377347;32;11.08.2020;12.08.2020;16.08.2020;P/20/35488;RT-PCR+;1;padły/padłe;1.nn.nn,15 kg;0;0;0;1;
3023;736;lubuskie;08080 Świebodzin;0808 świebodziński;Skąpe; Międzylesie ;zagrożenia;52.154514;15.376311;32;11.08.2020;12.08.2020;16.08.2020;P/20/35488;RT-PCR+;1;padły/padłe;1.nn.nn,25 kg;0;0;0;1;
3024;737;lubuskie;08080 Świebodzin;0808 świebodziński;Skąpe; Międzylesie ;zagrożenia;52.152934;15.372156;32;11.08.2020;12.08.2020;16.08.2020;P/20/35488;RT-PCR+;1;padły/padłe;1.nn.nn.10 kg;0;0;0;1;
3025;738;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Boryń-Laski;zagrożenia;52.037337;15.324604;32;11.08.2020;12.08.2020;16.08.2020;P/20/35502;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 6 m - 10 kg;0;1;0;0;
3026;739;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Boryń-Laski;zagrożenia;52.039975;15.326058;32;11.08.2020;12.08.2020;17.08.2020;P/20/35759;RT-PCR+;1;padły/padłe;1. samiec - 2 lata, 50 kg;1;0;0;0;
3027;740;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Czerwieńsk;zagrożenia;51.990678;15.382264;32;07.08.2020;10.08.2020;17.08.2020;P/20/35780;RT-PCR+;1;padły/padłe;1. samica - 3 lata, 70 kg;0;1;0;0;
3028;741;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Dąbie;Lubiatów;zagrożenia;51.936489;15.224443;32;07.08.2020;12.08.2020;17.08.2020;P/20/35737;"RT-PCR+ELISA+IPT+";1;odstrzelony;samica - 48m - 55 kg;1;0;0;0;
3029;1078/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Grunwald;Omin;objęty ograniczeniami;53.523592;20.205305;30;10.08.2020;11.08.2020;18.08.2020;P/20/35876;RT-PCR+;1;padły/padłe;1.samiec - 3 m - 10 kg;1;0;0;0;
3030;1079/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Grunwald;Omin;objęty ograniczeniami;53.522743;20.195876;30;10.08.2020;11.08.2020;18.08.2020;P/20/35876;RT-PCR+;1;padły/padłe;1.samica - 4 m - 15 kg;1;0;0;0;
3031;1080/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Stare Juchy;Stare Juchy;objęty ograniczeniami;53.944611;22.203722;32;06.08.2020;10.08.2020;18.08.2020;P/20/35903;IPT+;1;odstrzelony;"samiec - 36 m - 70 kg";
3032;1081/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Milejewo;Stoboje;objęty ograniczeniami;54.179308;19.508760;32;04.08.2020;11.08.2020;18.08.2020;P/20/35901;IPT+;1;odstrzelony;1. samica - 30 m - 56 kg           ;
3033;1082/2020;warmińsko-mazurskie;28040 Elbląg;2861 Elbląg;M. Elbląg;Elbląg;objęty ograniczeniami;54.20389228;19.4670287987;32;05.08.2020;11.08.2020;18.08.2020;P/20/35901;IPT+;1;odstrzelony;1. samica - 26 m - 40 kg           ;
3034;1083/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Pasłęk;Gołabki;zagrożenia;54.0656616 ;19.7014548;32;06.08.2020;11.08.2020;18.08.2020;P/20/35900;IPT+;1;odstrzelony;1. samica - 24 m - 48 kg           ;
3035;1084/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Górowo Iławeckie;Zielenica  ;objęty ograniczeniami;54.2480639;20.5258361;32;07.08.2020;10.08.2020;18.08.2020;P/20/35902;IPT+;1;odstrzelony;samica -2lata,60 kg;
3036;1085/2020;warmińsko-mazurskie;28090 Lidzbark Warmiński;2809 lidzbarski;Kiwity;Kiersnowo;zagrożenia;54.144339;20.751457;32;05.08.2020;10.08.2020;18.08.2020;P/20/35904;IPT+;1;odstrzelony;1.samiec - 30m , 70 kg,           ;
