NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
1085;272;lubuskie;08090 Zielona Góra;0809 zielonogórski;Kargowa;Siadcza;objęty ograniczeniami;52.003661;15.868417;32;24.02.2020;26.02.2020;04.03.2020;P/20/09829;RT-PCR+;1;padły/padłe;1.samiec -36 m - 130 kg;1;0;0;0;;
1086;273;lubuskie;08090 Zielona Góra;0809 zielonogórski;Kargowa;Chwalim;objęty ograniczeniami;52.061131;15.825386;32;25.02.2020;26.02.2020;04.03.2020;P/20/09692;RT-PCR+;1;padły/padłe;1.płeć nieokreślona. wiek nieokreślony. 20 kg;0;0;0;1;;
1087;274;lubuskie;08090 Zielona Góra;0809 zielonogórski;Kargowa;Karszyn;objęty ograniczeniami;52.025355;15.846237;32;24.02.2020;26.02.2020;04.03.2020;P/20/09691,P/20/09692;RT-PCR+;3;padły/padłe;1.samica - 24 m-ce. 60 kg, 2.płeć nieokreślona. wiek nieokreślony. 15 kg ,3.samica - 24 m-ce. 60 kg ;1;1;0;1;;
1088;275;lubuskie;08090 Zielona Góra;0809 zielonogórski;Kargowa;Smolno Wielkie;objęty ograniczeniami;52.067354;15.743892;32;24.02.2020;26.02.2020;04.03.2020;P/20/09825,P/20/09826,P/20/09828,P/20/09692;RT-PCR+;4;padły/padłe;1.samiec - 36 m - 70 kg, 2. płeć nieokreślona. 24 m-ce. 50 kg                                           3.samica - 36 m - 100 kg             4.samiec - 24 m-ce. 50 kg;2;2;0;0;;
1089;276;lubuskie;08120 Sława;0812 wschowski;Sława;Kamienna;objęty ograniczeniami;51.845216;16.009495;32;28.02.2020;02.03.2020;06.03.2020;P/20/10339;RT-PCR+;3;padły/padłe;"1.samiec - 24 m - 40kg,2.NIEOKREŚLONA. NIEOKREŚLONY. 10kg, 3.samica - 36 m - 60kg";0;0;1;2;;
1090;277;lubuskie;08120 Sława;0812 wschowski;Sława;Tarnów Jezierny;objęty ograniczeniami;51.858205;15.917041;32;28.02.2020;02.03.2020;06.03.2020;"P/20/10339P/20/10372";RT-PCR+;2;padły/padłe;"1.NIEOKREŚLONA. 24 m - 20kg, 2.samica - 36 m - 60kg";0;1;0;1;;
1091;278;lubuskie;08120 Sława;0812 wschowski;Sława;"Krzydłowiczki";objęty ograniczeniami;51.821208;16.146893;32;01.03.2020;02.03.2020;06.03.2020;P/20/10339;RT-PCR+;2;padły/padłe;"1.samica - 36 m - 60kg, 2.NIEOKREŚLONA. NIEOKREŚLONY. 20kg";0;0;1;1;;
1092;45;podlaskie;20100 Siemiatycze;2010 siemiatycki;Grodzisk;Siemiony;objęty ograniczeniami;52.636554;22.801315;32;27.02.2020;27.02.2020;09.03.2020;P/20/10426;"RT-PCR+IPT+";1;odstrzelony;samiec - 12m - 36kg;0;0;0;0;;
1093;46;podlaskie;20100 Siemiatycze;2010 siemiatycki;Mielnik;Tokary;objęty ograniczeniami;52.37542;23.248477;32;02.03.2020;27.02.2020;09.03.2020;P/20/10427;IPT+;1;odstrzelony;samiec - 60m - 85kg;0;0;0;0;;
1094;63;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;wolsztyn;Obra;objęty ograniczeniami;52.0778827;16.0819694;32;02.03.2020;03.03.2020;09.03.2020;P/20/10555;RT-PCR+;1;odstrzelony;1. samica - 36 m - 70 kg;0;0;0;0;;
